company_id,company,stock_code,listing_country,responsible_module,revenue_status,aesthetics_segment_status,revenue_year,revenue_usd_m,gross_margin_pct,financial_review_status,segment_queue_priority,expected_source,source_url,next_action,captured_at
co_dcd822423379,Evolus,NASDAQ:EOLS,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,297.18,66.33,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001570562.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
,Fagron Genomics,FAGR.BR,,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_e655b002cb74,GTG Wellness,KRX:219750,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_df6b67e82dc5,HansBiomed.,KRX:042520,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_bac5ab36d84d,Hironic,KRX:149980,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_4ae5806d21fa,Hugel,KRX:145020,KR,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,273.61,76.98,manual_verified,,Investor relations / annual report / exchange or securities filing,https://cdn.prod.website-files.com/65d4bcfd06a8be5d2448b946/68648526442d861d6b8a69da_HUGEL_AR_2024_EN.pdf,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_8f51008b9523,Huons Meditech,KRX:243070,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_326764b924a4,Ilooda,KRX:214150,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_7a6f66b2861e,InMode,NASDAQ:INMD,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,370.50,78.54,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001742692.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_1418ea0f3165,Jetema,KRX:216080,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_35faa8063d5e,Medytox,KRX:086900,KR,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,167.68,60.81,manual_verified,,Investor relations / annual report / exchange or securities filing,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250320002216&method=search,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
,Novartis,NASDAQ:NOVN,US,sec_xbrl_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
,Obagi,NASDAQ:WALD,US,sec_xbrl_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
,Osteopore,OSX.ASX,,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_61e6816901f7,PharmaResearch / PR Bio,KRX:214450,KR,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,256.79,71.76,manual_verified,,Investor relations / annual report / exchange or securities filing,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250317000988&method=search,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_899ad9993fec,Quanta System,ELN.MI,IT,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_155831ecf12c,Revance Therapeutics,NASDAQ:RVNC,US,sec_xbrl_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_6c5df66586f1,Sinclair Pharma,000963.SZ,CN,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_5a732eebc6b5,Sofwave Medical,SOFW.TA,,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_c8389fa251ed,Solta Medical,NASDAQ:BHC,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,10266.00,,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885590.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_ef311b352c67,Venus Concept,NASDAQ:VERO,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,64.83,68.34,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001409269.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_ea65636d4d75,ViOL,KRX:335890,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
,Waldencast,NASDAQ:WALD,US,sec_xbrl_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_592c40ca0c6d,Wontech,KRX:216280,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
