company,active_product_count_before_scope,record_ids,brands,product_names,commercial_paths,scope_action,scope_reason
Medians,1,REC_0318,Histolab,Basic Science / Derma Science,Skincare > Professional,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
MR Innovation,1,REC_0703,Thesera,Thesera L (Lifting),Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Nexgen Bio,1,REC_0080,Biometics,Spider Cream / Toxin,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Nunii Laboratoire,1,REC_0507,Nunii,Nunii professional peels and uniq-white pigmentation treatment,Skincare > Professional,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Obagi,2,REC_0509; REC_0510,Obagi; Obagi,Nu-Derm System; Professional-C / ELASTIderm,Skincare > Cosmeceutical; Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Only Toujours,1,REC_0519,Only Toujours,Post-Procedure Mist,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
PCA Skin,1,REC_0531,PCA Skin,PCA Peel / Sensi Peel,Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Pharmely,1,REC_0538,Pharmely,Pharmely Cosmetics,Skincare > Professional,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Professional Skin Solutions,1,REC_0221,Elementrē,Elementrē Dermo Cosmetics,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Purlés,1,REC_0575,Purlés,Chemical Peels,Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Senté Labs,1,REC_0640,Senté,Dermal Repair Cream,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Sesderma,1,REC_0642,Sesderma,C-Vit / Azelac,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
SR Biotek,1,REC_0797,SR Biotek,SR Biotek,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Stratpharma,1,REC_0679,Strataderm,Strataderm / Stratamed,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
The Skin Lounge,1,REC_0695,The Skin Lounge,Seoul Masks,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Theraderm,1,REC_0697,Theraderm,BB Cream / OPC,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
U.SK / Under Skin,1,REC_0717,U.SK,U.SK Anti-Aging,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
VLCC Personal Care,1,REC_0755,VLCC,Professional Range,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Zenix Professional,1,REC_0783,Zenix,Clay Mask / Peel-off,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
