batch_no,your_decision_fill_this,merge_into_product_id_fill_this,final_company_brand_product_fill_this,notes_fill_this,source_company,candidate_product_or_family,source_count,source_types,source_domains,confidence_mix,sample_url,review_status,existing_products_in_master,source_examples,what_i_need_from_you
MISS-011,新增为产品线,,Kylane / MaiLi / MaiLi HA Filler,用户确认：MaiLi 为高端 HA 填充剂，应作为独立产品线；入库前需核对当前主库已有 Sinclair Pharma / MaiLi 与 Kylane / Kysense 的公司归属及去重关系。,Kylane,MaiLi / Kysense,63,official_website_master; product_specification_evidence,aestheticmed.co.uk; bestaestheticsbenelux.com; circaskin.com; filler-france.com; isrctn.com; kylane.com; maili.com; mdpi.com; pillolastore.com; sinclair.com,official_search_excerpt_spec_candidate:38; official_site_spec_candidate:11; product_official_search_candidate:8; product_official_domain_candidate:4,https://aestheticmed.co.uk/kysense-ha-dermal-filler-brand,candidate,prod_a42d9b6e3f31 | Kysense / Kysense Body HA filler (Injectables > Dermal Filler),"[official_website_master] Innovative solutions for the face and for the body with hyaluronic aci - Kylane | https://www.kylane.com/treatment-solutions | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] FAQs | MaiLi Premium Hyaluronic Acid Fillers - MaiLi | https://maili.com/uk/why-choose-maili/your-questions-answered/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] FAQs | MaiLi Premium Hyaluronic Acid Fillers - MaiLi | https://maili.com/why-choose-maili/your-questions-answered/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Premium Hyaluronic Acid (HA) Dermal Filler | MaiLi - MaiLi | https://maili.com/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Premium Hyaluronic Acid (HA) Dermal Fillers | MaiLi - Sinclair United Kingdom | https://sinclair.com/uk/brands/injectables-and-threads/maili/ | official_site_spec_candidate | s Energy devices Back View all Injectables and threads Ellansé Lanluma MaiLi Silhouette Soft Perfectha View all Energy devices Cooltech Cooltech Defi… || [product_specification_evidence] N/A | https://circaskin.com/wp-content/uploads/2023/06/Kysense-IFU-20-Page-Spanish-2023.pdf | official_site_spec_candidate | Touch / Kysense® Define / Kysense® Volume / Kysense® Extreme, un folleto de instrucciones, etiquetas de trazabilidad y cuatro agujas estériles de uso…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-012,排除-非医美/非上游,,Galderma / Mirvaso,用户确认：红斑痤疮治疗处方药，属于传统严肃皮肤科用药，不纳入医美上游产品线。,Galderma,Mirvaso,60,official_website_master; product_specification_evidence,accessdata.fda.gov; dailymed.nlm.nih.gov; drugs.com; ec.europa.eu; ema.europa.eu; galderma.com; hpra.ie; medicines.org.uk; tga.gov.au,official_search_excerpt_spec_candidate:26; official_site_spec_candidate:22; product_official_search_candidate:10; brand_official_search_candidate:1,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf,candidate,prod_09cdf2012b4c | ALASTIN Skincare / TriHex Technology Skincare (Skincare > Cosmeceutical); prod_22738c55d605 | Alastin / Regenerating Skin Nectar (Skincare > Cosmeceutical); prod_2dc6158c17cc | Alluzience / Ready-to-Use Liquid BoNT-A (Injectables > Neurotoxin); prod_cce4c2f61882 | Cetaphil / Gentle Skin Cleanser (Skincare > Cosmeceutical); prod_a3fda2457621 | Dysport / Azzalure / AbobotulinumtoxinA (Injectables > Neurotoxin); prod_9e543e0b57e7 | Relfydess / RelabotulinumtoxinA (Injectables > Neurotoxin); prod_adc9f6304ad5 | Restylane / Restylane (NASHA) (Injectables > Dermal Filler); prod_4daac7e09ddb | Restylane / Restylane (OBT / XpresHAn) (Injectables > Dermal Filler); prod_c02f4d543025 | Restylane Contour / HA Filler for Cheeks (Injectables > Dermal Filler); prod_93db7892de5b | Restylane Defyne / HA Filler for Deep Facial Folds (Injectables > Dermal Filler); prod_090806558f12 | Restylane Eyelight / HA Filler for Tear Trough (Injectables > Dermal Filler); prod_0ccb09310f48 | Restylane Kysse / HA Filler for Lips (Injectables > Dermal Filler); prod_6a5c0a95c13d | Restylane Lyft / HA Filler for Cheeks and Hands (Injectables > Dermal Filler); prod_f855bda3a241 | Restylane Refyne / HA Filler for Dynamic Facial Folds (Injectables > Dermal Filler); prod_a273bcba7400 | Restylane SHAYPE / HA Filler for Chin (Injectables > Dermal Filler); prod_72a45f382c8e | Restylane Skinboosters / HA Skin Booster (Injectables > Dermal Filler); prod_36cccb3f5f45 | Restylane Skinboosters Vital Light / HA Skin Quality Booster for Delicate Areas (Injectables > Skin Booster); prod_7b1c90ea05cb | Sculptra / Sculptra (PLLA) (Injectables > Biostimulator),"[official_website_master] Galderma Laboratories Announces Availability of New Mirvaso® (brimonidine) Topical Gel, 0… | https://www.galderma.com/us/news/galderma-laboratories-announces-availability-new-mirvaso-brimonidi… | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Mirvaso, INN-brimonidine | https://www.ema.europa.eu/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Mirvaso | https://hpra.ie/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] N/A | https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Mirvaso, INN-brimonidine | https://www.ema.europa.eu/ | official_site_spec_candidate | 1 ANNEX I SUMMARY OF PRODUCT CHARACTERISTICS 2 1. NAME OF THE MEDICINAL PRODUCT Mirvaso 3 mg/g gel 2. QUALITATIVE AND QUANTITATIVE COMPOSITION One gr… || [product_specification_evidence] Mirvaso, INN-brimonidine | https://www.ema.europa.eu/ | official_site_spec_candidate | I SUMMARY OF PRODUCT CHARACTERISTICS 2 1. NAME OF THE MEDICINAL PRODUCT Mirvaso 3 mg/g gel 2. QUALITATIVE AND QUANTITATIVE COMPOSITION One gram of ge…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-013,新增为产品线,,Japan Bio Products (JBP) / Laennec / Curacen,用户确认：Laennec / Curacen 为亚洲市场高占有率人胎盘提取物（水光/中胚层疗法耗材），应新增产品线。,Japan Bio Products / JBP,Laennec / Curacen,59,official_website_master; product_specification_evidence,jbp.placenta.co.jp; jbpcn.placenta.co.jp; jbpglobal.placenta.co.jp; jbpglobalusa.com,official_search_excerpt_spec_candidate:40; official_site_spec_candidate:9; product_official_search_candidate:7; secondary_source_crosscheck:1,https://jbp.placenta.co.jp/about/,candidate,prod_a7e81a750c35 | JBP Nanoneedle / Nanoneedle (UTW) (EBD > IPL),"[official_website_master] 产品一览 | | https://jbpcn.placenta.co.jp/about/products/ | company_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Japan Bio Products Co., Ltd. | https://jbpglobal.placenta.co.jp/ | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] All Products | | https://jbpglobal.placenta.co.jp/about/products/ | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Research and Development | | https://jbpglobal.placenta.co.jp/about/research-and-development/ | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] 日本生物製剤について | | https://jbp.placenta.co.jp/about/ | official_site_spec_candidate | omer Service: JBP-Macau ベトナム Duc Minh Medical JSC, AMV Group No.51, Alley 205, Lane 323/83, Xuan Dinh Street, Tu Liem District, Hanoi, Vietnam Tel. +… || [product_specification_evidence] All Products | | https://jbpglobal.placenta.co.jp/about/products/ | official_site_spec_candidate | emier 30G 10mm JBP Nano Cannula 30G 25mm JBP Nano Cannula 27G 40mm/ 50mm JBP Nano Cannula 25G 40mm/ 50mm/ 70mm JBP Nano Cannula 23G 50mm/ 70mm JBP Na…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-014,排除-非医美/非上游,,OEO Firenze / OEO,用户确认：医美专业书籍/出版物品牌，不是实体器械或耗材产品线。,OEO Firenze,OEO,56,official_website_master; product_specification_evidence,oeofirenze.com; oeofirenze.it,official_search_excerpt_spec_candidate:27; official_domain_candidate:16; official_site_spec_candidate:13,https://oeofirenze.com/,candidate,(当前主库没有该公司的产品线),[official_website_master] Officina Editoriale Oltrarno | International publishing House ... | https://oeofirenze.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Officina Editoriale Oltrarno | International publishing House specialized in Aesthetic Me… | http://www.oeofirenze.it/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Officina Editoriale Oltrarno | International publishing House ... | https://oeofirenze.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Aesthetic Medicine | Officina Editoriale Oltrarno | https://oeofirenze.com/aesthetic-medicine/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Dermal Fillers for Facial Harmony | Officina Editoriale Oltrarno | https://oeofirenze.com/shop/dermal-fillers-facial/ | official_site_spec_candidate | UNCTIONAL GYNAECOLOGY Medicina Estética Managing errors and complications... Fatty Tissue Excess Cellulitis Laser Book of laser in aesthetic medicine… || [product_specification_evidence] English | Officina Editoriale Oltrarno | https://oeofirenze.com/product-tag/eng/ | official_site_spec_candidate | UNCTIONAL GYNAECOLOGY Medicina Estética Managing errors and complications... Fatty Tissue Excess Cellulitis Laser Book of laser in aesthetic medicine…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-015,改公司/品牌后再看,,Crown Aesthetics / SkinPen / SkinPen Microneedling Device,用户确认：SkinPen 是重磅微针设备，但公司映射应从 Revance 修正为 Crown Aesthetics；修正归属后新增为独立产品线。,Revance Therapeutics,SkinPen,55,official_website_master; product_specification_evidence,accessdata.fda.gov; accessgudid.nlm.nih.gov; bellusmedical.com; crownaesthetics.com; crownlaboratories.com; prnewswire.com; revance.com; skinpen.com; skinpenuk.com,official_search_excerpt_spec_candidate:25; official_site_spec_candidate:12; product_official_domain_candidate:7; product_official_search_candidate:6,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202243.pdf,candidate,prod_8c2cbcc5cd9e | Daxxify / Daxxify (DaxibotulinumtoxinA) (Injectables > Neurotoxin); prod_ee1d6ee169c0 | RHA Collection / RHA (2/3/4/Redensity) (Injectables > Dermal Filler); prod_06244fb027c5 | RHA Collection / RHA 2/3/4 (Injectables > Dermal Filler); prod_597f13f5d98c | RHA Redensity / RHA Redensity (Injectables > Dermal Filler),[official_website_master] Aesthetic Brands - Revance | https://www.revance.com/portfolio/aesthetics | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Our Portfolio - Revance | https://www.revance.com/products/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://skinpen.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] N/A | https://skinpenuk.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] N/A | https://crownaesthetics.com/ | official_site_spec_candidate | than one year old; scleroderma; and wound-healing deficiencies. PLEASE NOTE: The SkinPen Precision device allows for incremental increase in settings… || [product_specification_evidence] N/A | https://crownaesthetics.com/ | official_site_spec_candidate | derma; and wound-healing deficiencies. PLEASE NOTE: The SkinPen Precision device allows for incremental increase in settings of up to 1.5 mm for acne…,请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-016,排除-非医美/非上游,,Bayer / Priorin,用户确认：口服防脱产品不作为医美上游产品线收录。,Bayer,Priorin,52,official_website_master; product_specification_evidence,arzneimittel-datenbank.de; bayer.com; coalharbourpharmacy.com; eliveragroup.co.uk; eliveragroup.com; priorin.de; priorin.me; priorin.pk; priorincapsules.com; productservice.gesund.de; salamatgardi.com; saudionlinecom.com; shop.maxmo.de,official_search_excerpt_spec_candidate:31; official_site_spec_candidate:7; product_official_search_candidate:4; product_official_domain_candidate:4,https://www.arzneimittel-datenbank.de/produkt/priorin-120-st-04002065,candidate,prod_ec8160515d34 | Bepanthen / Bepanthol / Post-Procedure Repair (EBD > Microneedling); prod_16dfb5b48cc2 | Skinoren 施灵乐/思丽安 / Acne & Rosacea (Skincare > Cosmeceutical),"[official_website_master] Caring for Skin | Bayer Global | https://www.bayer.com/en/personal-health/caring-for-skin | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Priorin® – Unsere Mittel bei Haarausfall für Frauen | https://www.priorin.de/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Capsules for hair growth - Priorin™N Capsules | https://www.priorin.me/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Annotation export from Inform Proofing | https://www.priorin.pk/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] PRIORIN, 120 St | Arzneimittel-Datenbank | https://www.arzneimittel-datenbank.de/ | official_site_spec_candidate | = ""/img/ios-xs-02@2x.jpg""; Login arzneimittel-datenbank.de Home Top 15 der meist gesuchten Produkte ASS 100 HEXAL WOBENZYM PLUS Nestle Althera Baldri… || [product_specification_evidence] PRIORIN, 120 St | Arzneimittel-Datenbank | https://www.arzneimittel-datenbank.de/ | official_site_spec_candidate | O H DUCRAY ANAPHASE+ SHAMPOO H PZN: 11857790 200 ml Shampoo THIOCYN HAARSERUM FRAUEN THIOCYN HAARSERUM FRAUEN PZN: 12475783 150 ml Flüssigkeit MINOXI…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-017,排除-非医美/非上游,,Galderma / Soolantra,用户确认：玫瑰痤疮治疗处方药，属于传统严肃皮肤科用药，不纳入医美上游产品线。,Galderma,Soolantra,52,official_website_master; product_specification_evidence,accessdata.fda.gov; dailymed.nlm.nih.gov; galderma.com; galdermacc.com; hpra.ie; soolantra.com; tga.gov.au; verification.fda.gov.ph,official_search_excerpt_spec_candidate:35; official_site_spec_candidate:6; product_official_search_candidate:5; official_domain_candidate:4,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/206255s005s009lbl.pdf,candidate,prod_09cdf2012b4c | ALASTIN Skincare / TriHex Technology Skincare (Skincare > Cosmeceutical); prod_22738c55d605 | Alastin / Regenerating Skin Nectar (Skincare > Cosmeceutical); prod_2dc6158c17cc | Alluzience / Ready-to-Use Liquid BoNT-A (Injectables > Neurotoxin); prod_cce4c2f61882 | Cetaphil / Gentle Skin Cleanser (Skincare > Cosmeceutical); prod_a3fda2457621 | Dysport / Azzalure / AbobotulinumtoxinA (Injectables > Neurotoxin); prod_9e543e0b57e7 | Relfydess / RelabotulinumtoxinA (Injectables > Neurotoxin); prod_adc9f6304ad5 | Restylane / Restylane (NASHA) (Injectables > Dermal Filler); prod_4daac7e09ddb | Restylane / Restylane (OBT / XpresHAn) (Injectables > Dermal Filler); prod_c02f4d543025 | Restylane Contour / HA Filler for Cheeks (Injectables > Dermal Filler); prod_93db7892de5b | Restylane Defyne / HA Filler for Deep Facial Folds (Injectables > Dermal Filler); prod_090806558f12 | Restylane Eyelight / HA Filler for Tear Trough (Injectables > Dermal Filler); prod_0ccb09310f48 | Restylane Kysse / HA Filler for Lips (Injectables > Dermal Filler); prod_6a5c0a95c13d | Restylane Lyft / HA Filler for Cheeks and Hands (Injectables > Dermal Filler); prod_f855bda3a241 | Restylane Refyne / HA Filler for Dynamic Facial Folds (Injectables > Dermal Filler); prod_a273bcba7400 | Restylane SHAYPE / HA Filler for Chin (Injectables > Dermal Filler); prod_72a45f382c8e | Restylane Skinboosters / HA Skin Booster (Injectables > Dermal Filler); prod_36cccb3f5f45 | Restylane Skinboosters Vital Light / HA Skin Quality Booster for Delicate Areas (Injectables > Skin Booster); prod_7b1c90ea05cb | Sculptra / Sculptra (PLLA) (Injectables > Biostimulator),"[official_website_master] P52476-3 Soolantra cream PI_Clean | https://www.galdermacc.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] N/A | https://www.galderma.com/au/sites/default/files/Soolantra__AU_PI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://www.galderma.com/us/sites/default/files/2019-01/Soolantra_Cream_PI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://www.galderma.com/au/sites/default/files/inline-files/Soolantra%20CMI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] P52476-3 Soolantra cream PI_Clean | https://www.galdermacc.com/ | official_site_spec_candidate | ENGTHS Cream, 1%. Each gram of SOOLANTRA cream contains 10 mg of ivermectin in a white to pale yellow cream base. SOOLANTRA cream is supplied in tube… || [product_specification_evidence] P52476-3 Soolantra cream PI_Clean | https://www.galdermacc.com/ | official_site_spec_candidate | drugs to the FDA. Visit fda.gov/medwatch or call 1-800-FDA-1088. Other offers may apply. Visit AKLIEF website View Full Product List ORACEA® (doxycyc…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-018,新增为产品线,,Skymedic / Skymedic / Skymedic EBD and Fotoskinox portfolio,用户确认：Skymedic 提供光电类设备及配套医疗级护肤品，具备独立产品线特征。,Skymedic,Skymedic,51,official_website_master; product_specification_evidence,old.skymedic.eu; shop.skymedic.eu; skymedic-uk-2.myshopify.com; skymedic.eu; skymedicuk.co.uk; skymedicusa.com,official_domain_candidate:24; official_search_excerpt_spec_candidate:17; official_site_spec_candidate:10,https://old.skymedic.eu/es-pt/,candidate,(当前主库没有该公司的产品线),"[official_website_master] Skymedic: listen, understand and innovate | https://old.skymedic.eu/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Fotoskinox - | https://shop.skymedic.eu/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Medical Devices | Aesthetic Equipment | Skymedic UK | https://skymedic-uk-2.myshopify.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] International Skymedic | Listen, understand and innovate | https://skymedic.eu/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] Medical Devices | Aesthetic Equipment | Skymedic UK | https://skymedic-uk-2.myshopify.com/ | official_site_spec_candidate | ymedicuk.co.uk"", ""logo"": ""//skymedicuk.co.uk/cdn/shop/t/2/assets/logo-skymedic-dark.png?v=1319"", ""description"": ""Medical-grade skincare developed in … || [product_specification_evidence] Skymedic UK | Medical-Grade Skincare | ISO 13485 Certified | Next-Day UK Delivery | https://skymedicuk.co.uk/ | official_site_spec_candidate | Skymedic UK | Medical-Grade Skincare | ISO 13485 Certified | Next-Day UK Delivery { ""@context"": ""https://schema.org"", ""@type"": ""Organization"", ""name""…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-019,排除-非医美/非上游,,Vampire Facial / Vampire Facial,用户确认：Vampire Facial 是 PRP 技术注册商标疗程/服务名称，不是具体实体器械产品。,Vampire Facial,Vampire,46,official_website_master; product_specification_evidence,aestheticcg.com; bio-prf.com; buffaloplasticsurgery.com; cellularmedicineassociation.org; irp.cdn-website.com; luvomedical.com; ovomedispa.com; skinlabmedical.com; store.laserspagroup.com; uk.acegroup.online; vampirefacelift.com; vampirefacial.com,official_site_spec_candidate:21; product_official_search_candidate:7; official_domain_candidate:7; official_search_excerpt_spec_candidate:6,https://aestheticcg.com/vampire-facial/,candidate,(当前主库没有该公司的产品线),"[official_website_master] Vampire Research – Vampire Facelift® | https://vampirefacelift.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Vampire Facial® Procedure | Official Website | Reviews | Find Provider | Provider Applica… | https://www.vampirefacial.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Vampire Research – Vampire Facelift® | https://vampirefacelift.com/research/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] PureSpin® PRP Preparation Instructions – Vampire Facelift® Providers | https://vampirefacelift.com/members/purespin/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Instructione Before and After Vampire Facia.pages | https://www.buffaloplasticsurgery.com/ | official_site_spec_candidate | N���b�ǎ}4^C5�J�|L �������@S����=R)��M։W��J��b�R�;� ���U��LLn �������@M���?E�J�=w�� �?�Jz,�x�fL� ����L�D'��GhD��Z�f�� < … || [product_specification_evidence] PRP Vampire Facial | https://store.laserspagroup.com/ | official_site_spec_candidate | eShippingNotification/js/minicart-freeship"": {} } } body .product-item-actions .actions-primary .stock.unavailable, body .products-grid.wishlist .pro…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-020,排除-非医美/非上游,,Galderma / Epiduo / Epiduo Forte,用户确认：寻常痤疮治疗处方药，属于传统严肃皮肤科用药，不纳入医美上游产品线。,Galderma,Epiduo / Epiduo Forte,44,official_website_master; product_specification_evidence,accessdata.fda.gov; drugs.com; galderma.com; tga.gov.au; verification.fda.gov.ph,official_search_excerpt_spec_candidate:26; official_site_spec_candidate:10; product_official_search_candidate:5; official_domain_candidate:3,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207917Orig1s000lbl.pdf,candidate,prod_09cdf2012b4c | ALASTIN Skincare / TriHex Technology Skincare (Skincare > Cosmeceutical); prod_22738c55d605 | Alastin / Regenerating Skin Nectar (Skincare > Cosmeceutical); prod_2dc6158c17cc | Alluzience / Ready-to-Use Liquid BoNT-A (Injectables > Neurotoxin); prod_cce4c2f61882 | Cetaphil / Gentle Skin Cleanser (Skincare > Cosmeceutical); prod_a3fda2457621 | Dysport / Azzalure / AbobotulinumtoxinA (Injectables > Neurotoxin); prod_9e543e0b57e7 | Relfydess / RelabotulinumtoxinA (Injectables > Neurotoxin); prod_adc9f6304ad5 | Restylane / Restylane (NASHA) (Injectables > Dermal Filler); prod_4daac7e09ddb | Restylane / Restylane (OBT / XpresHAn) (Injectables > Dermal Filler); prod_c02f4d543025 | Restylane Contour / HA Filler for Cheeks (Injectables > Dermal Filler); prod_93db7892de5b | Restylane Defyne / HA Filler for Deep Facial Folds (Injectables > Dermal Filler); prod_090806558f12 | Restylane Eyelight / HA Filler for Tear Trough (Injectables > Dermal Filler); prod_0ccb09310f48 | Restylane Kysse / HA Filler for Lips (Injectables > Dermal Filler); prod_6a5c0a95c13d | Restylane Lyft / HA Filler for Cheeks and Hands (Injectables > Dermal Filler); prod_f855bda3a241 | Restylane Refyne / HA Filler for Dynamic Facial Folds (Injectables > Dermal Filler); prod_a273bcba7400 | Restylane SHAYPE / HA Filler for Chin (Injectables > Dermal Filler); prod_72a45f382c8e | Restylane Skinboosters / HA Skin Booster (Injectables > Dermal Filler); prod_36cccb3f5f45 | Restylane Skinboosters Vital Light / HA Skin Quality Booster for Delicate Areas (Injectables > Skin Booster); prod_7b1c90ea05cb | Sculptra / Sculptra (PLLA) (Injectables > Biostimulator),"[official_website_master] N/A | https://www.galderma.com/us/sites/default/files/2020-03/EFG_PI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] 1 | https://www.galderma.com/au/sites/default/files/EpiduoForte_AU_PI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] PRODUCT NAME | https://www.galderma.com/au/sites/default/files/inline-files/Epiduo%20Forte%20Gel%20CMI_Feb%202019.… | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] EPIDUO FORTE | https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207917Orig1s000lbl.pdf | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] N/A | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207917Orig1s000PharmR.pdf | official_site_spec_candidate | ies conducted with the proposed clinical formulation. The maximum recommended daily human dose (2 grams) of gel will deliver (assuming 100% absorptio… || [product_specification_evidence] N/A | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207917Orig1s000PharmR.pdf | official_site_spec_candidate | f gel will deliver (assuming 100% absorption) 3.7 and 30.71 mg/m2 of adapalene and BZPO, respectively. The systemic safety of adapalene has been esta…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-021,新增为产品线,,Eltech / K-Laser / K-Laser,用户确认：K-Laser 为专业激光类能量源设备，属于典型医美声光电设备上游，应新增。,Eltech,K-Laser,42,official_website_master; product_specification_evidence,bimedis.com; dermat.be; fda.report; indiba.com; it.bimedis.com; k-laser.com.au; k-laser.eu; k-laser.it; k-laserasia.com; k-laserbaltic.com; klaser.es; klaser.indiba.com; klaseruk.co.uk; resources.k-laser.com.au,official_search_excerpt_spec_candidate:26; product_official_domain_candidate:10; company_official_search_candidate:3; secondary_source_crosscheck:1,https://bimedis.com/eltech-k-laser-m7735,candidate,(当前主库没有该公司的产品线),"[official_website_master] Lasers For Cosmetic - K-Laser Australia - Medical | Cosmetic | Dentistry | Veterinary | L… | https://k-laser.com.au/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Important news on the K-Laser Brand property - K-Laser Therapy | https://k-laser.it/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Blue Derma | K-Laser Asia | https://k-laserasia.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] K-LASER - Professional Laser Devices | K-LASER - Professional Laser Devices | https://k-laserbaltic.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] N/A | https://www.dermat.be/ | official_site_spec_candidate | form surgical treatments without bleeding, minimizing the risk of infections, and achieving an excellent aesthetic result. In synergy with the blue l… || [product_specification_evidence] N/A | https://www.dermat.be/ | official_site_spec_candidate | al treatments without bleeding, minimizing the risk of infections, and achieving an excellent aesthetic result. In synergy with the blue light, also …",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
