seed_record_id,company,brand,standard_product_name,reason,local_spec_rows
REC_0142,Body Health,Cryo-Radiofrequency (Refreeze),Cryo-Frequency,no_usable_explicit_window,14
REC_0145,Needle Concept,Crystal Multi Needle (水晶针),Mesogun,bad_text:title:,12
REC_0146,Bison Medical,Cynergy / Dual Yellow (Tech),Copper Bromide Laser,no_usable_explicit_window,9
REC_0147,Revitacare,Cytocare,Cytocare 516 / 532,no_usable_explicit_window,13
REC_0149,Meta Biomed,Da:all,Da:all Threads (Mono/Screw/I-Screw),no_usable_explicit_window,67
REC_0152,Decomedical,Decolaser,Diode Laser,no_usable_explicit_window,20
REC_0154,Decomedical,Decopeel,Microdermabrasion,no_usable_explicit_window,2
REC_0155,Decomedical,Decopress,Pressotherapy,no_local_spec_rows,
REC_0157,Relife,Definisse,Definisse Filler,no_usable_explicit_window,19
REC_0160,El.En.,DEKA,Onda (Coolwaves),no_usable_explicit_window,14
REC_0161,El.En.,DEKA,RedTouch PRO,bad_text:scientific papers,5
REC_0164,BR Pharm,Derm S,Post-Procedure Care,no_local_spec_rows,
REC_0166,Caregen,Dermaheal / Aquashine,Skin Booster / Meso,no_usable_explicit_window,2
REC_0168,Mesoestetic Pharma,Dermamelan,Dermamelan Intimate,no_usable_explicit_window,3
REC_0169,DermapenWorld,Dermapen 4,Microneedling,no_usable_explicit_window,22
REC_0170,DermapenWorld,Dermapen Home,Home Use,no_usable_explicit_window,23
REC_0174,CGBIO / Cell Growth Bio,DERMAREVIVE,Exosome/Microneedle,bad_text:title:,1
REC_0177,Huons Meditech,DermaShine,DermaShine Duo RF,no_usable_explicit_window,10
REC_0184,Body Health,Dermo Health (Vacuum),Vacuum Therapy,bad_text:title:,7
REC_0185,Dermoaroma,Dermo Peel,Chemical Peel,no_local_spec_rows,
REC_0186,Dermoaroma,Dermoaroma PDRN,Mesotherapy,no_usable_explicit_window,18
REC_0187,VIVACY,Desirial,Desirial / Plus,no_local_spec_rows,
REC_0193,DSD Pharm,Dixidox de Luxe (Classic Line),Trichology,no_usable_explicit_window,20
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,no_local_spec_rows,
REC_0197,Dr. Babor,DOCTOR BABOR / PRO,Cosmeceuticals,no_usable_explicit_window,31
REC_0199,Hironic,Doublo,New Doublo,no_usable_explicit_window,84
REC_0204,Dr. PRP,Dr. PRP Centrifuge,Centrifuge,no_usable_explicit_window,46
REC_0205,Dr. PRP,Dr. PRP Kit,PRP Kit,no_usable_explicit_window,39
REC_0206,DTS MG,DTS Roller (Disk Type),Microneedling,no_usable_explicit_window,13
REC_0207,Bison Medical,Dual Accento,Dual Wavelength Laser,no_usable_explicit_window,52
REC_0209,Jion Meditech,Dualsonic Maximum,Multi-Function,no_usable_explicit_window,16
REC_0210,Jion Meditech,Dualsonic Professional / Luxury,Home Use HIFU,no_usable_explicit_window,23
REC_0214,Daewoong,Easydew (RX / DW-EGF),EGF Skincare,no_usable_explicit_window,4
REC_0217,Cliniccare,"EGF / HA Cocktails (Glow, Tight, Refresh)",Meso Vials,no_usable_explicit_window,88
REC_0220,Dongbang Medical,Elasty Threads,PDO Threads,no_local_spec_rows,
REC_0221,Professional Skin Solutions,Elementrē,Elementrē Dermo Cosmetics,no_usable_explicit_window,5
REC_0225,Cocoon Medical,Elysion-Pro,Diode Laser,source_not_official_enough,27
REC_0226,BTL,Emface,Facial Muscle Lifting,no_usable_explicit_window,14
REC_0228,BTL,Emsculpt NEO,Body Contouring (Muscle),no_usable_explicit_window,12
REC_0248,GC Aesthetics,Eurosilicone,The Matrix / Round,source_not_official_enough,6
REC_0253,InMode,Evoke,Evoke Face / Chin,no_usable_explicit_window,4
REC_0255,Evolus,Evolysse,Evolysse Lift / Smooth,no_usable_explicit_window,35
REC_0259,DFK Biolab,Exo One,Exosomes,no_usable_explicit_window,33
REC_0262,Primoris International,ExoHealer,ExoHealer / Filcore,no_local_spec_rows,
REC_0264,ExoCoBio,EXOMAGE,Cosmeceuticals,no_usable_explicit_window,20
REC_0265,Cha Meditech,Exosome Skin Booster,Exosome,no_usable_explicit_window,13
REC_0269,Fijie,FBio,FBio (Light/Medium/Volume),no_usable_explicit_window,1
REC_0273,Bison Medical,Fire-Xel,Fractional CO2 Laser,no_local_spec_rows,
REC_0274,Biovico,Flavya,Native HA Booster,no_usable_explicit_window,18
REC_0276,Daeyang Medical,Focus Dual,HIFU + RF Microneedling,no_local_spec_rows,
REC_0279,FotoFinder Systems,FotoFinder,ATBM master,no_usable_explicit_window,31
REC_0280,Fotona d.o.o.,Fotona,SP Dynamis (4D Pro),no_usable_explicit_window,47
REC_0281,Fotona d.o.o.,Fotona,StarWalker MaQX,no_usable_explicit_window,20
REC_0283,Bluecore,Fouri,Hybrid Laser (CO2+Er:YAG),no_usable_explicit_window,7
REC_0287,Blue Moon,Frozen,Cryolipolysis,no_usable_explicit_window,6
REC_0288,Fusion Meso,Fusion,F-XFC / F-Hair,no_usable_explicit_window,8
REC_0289,Asterasys,Futera Dots,点阵射频 (Fractional RF),no_usable_explicit_window,13
REC_0297,DTS MG,Genosys (荷诺诗),Post-Procedure,no_usable_explicit_window,5
REC_0298,Candela,GentleMax Pro / Pro Plus,Hair Removal Platform,no_usable_explicit_window,28
REC_0301,BeautyBio,GloPRO,Microneedling Tool,no_usable_explicit_window,13
REC_0306,W.L. Gore & Associates,Gore-Tex,ePTFE Implants,no_usable_explicit_window,10
REC_0309,Revitacare,HairCare,HairCare,bad_text:title:,7
REC_0315,Beamed,Hellas EVO / Hellas RT,Q-Switched Nd:YAG,no_local_spec_rows,
REC_0317,Blue Moon,Himalaya,Multi-Platform,no_usable_explicit_window,6
REC_0318,Medians,Histolab,Basic Science / Derma Science,no_usable_explicit_window,7
REC_0320,DTS MG,HR3 Matrix,Hair Loss,no_usable_explicit_window,2
REC_0328,BioPlus,HyalDew,HA Dermal Filler,no_usable_explicit_window,4
REC_0329,DFK Biolab,Hyalmass,Body Filler,no_usable_explicit_window,25
REC_0331,Biocyte,Hyaluronic Forte,口服透明质酸 (Oral HA),no_usable_explicit_window,19
REC_0332,Dongkook Pharma,Hyaron (海珠),HA Skin Booster,source_not_official_enough,2
REC_0333,Beauty Health,HydraFacial Boosters,联名加强剂 (Boosters),no_local_spec_rows,
REC_0335,Hydrinity Skin Science,Hydrinity,Restorative HA Serum,no_usable_explicit_window,47
REC_0338,IDS / Innovative Device Solutions,IDS,XLASE / Oron,no_usable_explicit_window,24
REC_0339,Image Skincare,Image,I Peel,no_usable_explicit_window,11
REC_0340,BRERA Medical,Imperium Med 400,RF & Ultrasound,no_usable_explicit_window,20
REC_0343,Induction Therapies,Induction Therapies Skincare,Post-Procedure,no_usable_explicit_window,6
REC_0349,Medytox,Innotox,Innotox 50U/100U,no_usable_explicit_window,42
REC_0350,Canfield Scientific,IntelliStudio / DermaGraphix,Total Body Photography,no_usable_explicit_window,3
REC_0352,Bluecore,IRIS,Q-Switched Nd:YAG,no_usable_explicit_window,6
REC_0355,Professional Derma,Jalupro,Super Hydro,no_local_spec_rows,
REC_0358,Japan Bio Products / JBP,JBP Nanoneedle,Nanoneedle (UTW),bad_text:privacy policy,57
REC_0360,Jeisys Medical,Jeisys,LinearZ (Ultracel [zi:]),no_usable_explicit_window,78
REC_0361,Jeisys Medical,Jeisys,Density,no_usable_explicit_window,69
REC_0362,Tav-Tech,JetPeel,JetPro / JetPeel-3,no_usable_explicit_window,4
REC_0365,Huons Meditech,Jill's of,Jill's of (Jill'SOF),no_local_spec_rows,
REC_0368,Juvaplus,Juvapen,Juvapen Expert,no_local_spec_rows,
REC_0370,Vaim,Juvelook,Juvelook / Lenisna,no_local_spec_rows,
REC_0371,JYSUNG Meditech,JYSUNG,Cannula / Meso Needle,no_usable_explicit_window,31
REC_0379,SkinQRI,KeraFactor,KeraFactor Serum,no_usable_explicit_window,6
REC_0381,Beauty Health,Keravive,HydraFacial Keravive,no_local_spec_rows,
REC_0384,FB Dermatology,Kleresca,Kleresca Light,no_local_spec_rows,
REC_0386,Tema Medicina,K-Surgery,Idea / TC Plus,no_usable_explicit_window,13
REC_0390,European Wellness Biomedical,Lab RMS,Mito Organelles,no_local_spec_rows,
REC_0391,Japan Bio Products / JBP,Laennec / Curacen,Laennec / Curacen,no_local_spec_rows,
REC_0393,GTG Wellness,LeShape,LeShape / U-One,no_usable_explicit_window,3
REC_0396,Haim Aesthetics,LeVair,LeVair PDRN / Exovair,bad_text:title:,37
REC_0400,Daeyang Medical,Liftron,RF Microneedling,no_local_spec_rows,
REC_0401,BenQ,Lily / Miracle,HA Dermal Filler,no_usable_explicit_window,2
REC_0403,HJorations,LIPO VELA,LIPO VELA V,no_local_spec_rows,
REC_0404,Receptura Apotheke,Lipodissolve,PPC / DC (Phosphatidylcholine),no_local_spec_rows,
REC_0406,Medikan International,Lipokit,Lipokit / Adivive,no_usable_explicit_window,16
REC_0408,Cliniccare,LMWHA Home Care,Post-Procedure,no_local_spec_rows,
REC_0409,LPG Systems,LPG,Cellu M6 Alliance,no_usable_explicit_window,11
REC_0411,Newpong,LSSA,LSSA (Liposculpture),no_usable_explicit_window,22
REC_0412,Bison Medical,Lucid Q-PTP,Q-Switched Nd:YAG,no_usable_explicit_window,20
REC_0413,Abio Materials,Lucidor,护肤品,no_usable_explicit_window,14
REC_0418,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,no_usable_explicit_window,46
REC_0419,Lutronic / Cynosure Lutronic,Lutronic,Genius,no_usable_explicit_window,31
REC_0420,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,no_usable_explicit_window,55
REC_0430,Julphar,MEBO,MEBO Scar / Ointment,no_usable_explicit_window,53
REC_0432,Asclepion Laser,MeDioStar Monolith,半导体脱毛激光,no_local_spec_rows,
REC_0433,HOYA ConBio,MedLite C6,Q-Switched Nd:YAG,source_not_official_enough,5
REC_0434,Alvi Prague,MED-X,二氧化碳点阵激光,no_usable_explicit_window,40
REC_0435,Melsmon Pharmaceutical,Melsmon,Melsmon Injection,no_local_spec_rows,
REC_0437,MI Medical,Mesbio,Mesogun,bad_text:title:,12
REC_0441,Koru Pharma,Mesoheal,Mesoheal Body,no_usable_explicit_window,37
REC_0442,Mesoestetic Pharma,Mesohyal,Mesohyal (NCTC 109),bad_text:title:,13
REC_0445,Biotekne,Meso-relle,Mesotherapy Needles,no_usable_explicit_window,23
REC_0446,Biotekne,Meso-relle Multi-injectors,Multi-injectors,no_local_spec_rows,
REC_0447,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,no_local_spec_rows,
REC_0448,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,no_local_spec_rows,
REC_0450,Biopark Medical,Messenger,Booster,no_local_spec_rows,
REC_0451,European Wellness Biomedical,MF+ / EW,Precursor Stem Cells,no_local_spec_rows,
REC_0452,Dermakor,Micro Cannulas,Cannulas,no_local_spec_rows,
REC_0455,Eclipse,MicroPen EVO,Microneedling,bad_text:designed to perform.trusted,2
REC_0457,Dermaceutic,Milk Peel (奶滑酸),Chemical Peel,no_usable_explicit_window,8
REC_0458,HansBiomed.,MINT Lift,MINT (Fine/Petit/Easy),no_usable_explicit_window,14
REC_0464,Arion,Monobloc Hydrogel (CMC),生物水凝胶假体,no_usable_explicit_window,1
REC_0468,DEKA,Motus AX / AY,Alexandrite Laser,no_usable_explicit_window,5
REC_0469,Biopark Medical,MPGUN,AI Mesotherapy Gun,no_local_spec_rows,
REC_0471,Asclepion Laser,Multipulse PRO,混合激光技术,no_local_spec_rows,
REC_0472,My Med Aesthetics,My Filler,My Filler (Glips/Man),no_usable_explicit_window,25
REC_0474,GC Aesthetics,Nagor,Impleo / CoGel Breast Implants,no_local_spec_rows,
REC_0478,Matex Lab,Neauvia Devices,Sectum / Plasma,no_usable_explicit_window,2
REC_0481,NeoDr,Neo Thread,Multi Thread (Twin/Triple),no_local_spec_rows,
REC_0485,Energist,NeoGen,NeoGen SPA,no_usable_explicit_window,18
REC_0490,Arkana Cosmetics,Neuro GABA & NANA Peels,神经美容酸/焕肤剂,no_local_spec_rows,
REC_0492,Medytox,Neuronox / Meditoxin,Neuronox (Botulinum Toxin Type A),no_usable_explicit_window,48
REC_0493,Dermaroller,New Natural Line / XCellarisPRO,Professional Skincare,no_usable_explicit_window,44
REC_0495,Euroresearch,Nithya,Collagen,no_usable_explicit_window,28
REC_0496,Euroresearch,Nithya Peel,Chemical Peel,no_usable_explicit_window,2
REC_0497,Candela,Nordlys,IPL / Multi-platform,bad_text:clinical papers,58
REC_0498,Laboratoire Nouveau Visage,Nouveau Visage,Newage / Newskin,no_usable_explicit_window,2
REC_0499,Fijie,Novacutan,YBio / SBio,no_usable_explicit_window,2
REC_0500,Baz Biomedic,NOVAPlus,无针药物递送系统 (Needle-Free Injector),no_usable_explicit_window,7
REC_0504,CGBIO / Cell Growth Bio,NOVOSIS,Growth Factor,no_usable_explicit_window,40
REC_0505,Promoitalia,Nucleofill,Nucleofill / Pink Intimate,bad_text:title:,18
REC_0507,Nunii Laboratoire,Nunii,Nunii professional peels and uniq-white pigmentation treatment,no_local_spec_rows,
REC_0508,Recros Medica,Nuvell,Rotational Fractional Resection,no_local_spec_rows,
REC_0511,Waldencast,Obagi / Milk,Nu-Derm / Makeup,no_usable_explicit_window,21
REC_0512,Sylton,Observ,Observ 520x,no_usable_explicit_window,27
REC_0520,Opatra London,Opatra,DermiNeck / Synergy,no_usable_explicit_window,3
REC_0521,InMode,Optimas,Lumecca / DiolazeXL / Forma / Vasculaze,no_usable_explicit_window,21
REC_0527,Pollogen,OxyGeneo,Geneo X,no_usable_explicit_window,13
REC_0528,Pollogen,OxyGeneo,Geneo X / Glo2Facial,no_usable_explicit_window,26
REC_0530,Palomar Medical,Palomar,Vectus / Icon,no_local_spec_rows,
REC_0535,Caregen,Pelo Baum / Renokin,Post-Procedure,no_local_spec_rows,
REC_0536,Zero Gravity,Perfectio,Perfectio Plus,no_usable_explicit_window,6
REC_0543,Hironic,PicoHi,PicoHi 300,no_local_spec_rows,
REC_0549,BRERA Medical,Plasmage,Fractional Plasma,no_usable_explicit_window,6
REC_0550,Seoulin Medicare,Plasmage,Plasmage,no_local_spec_rows,
REC_0551,Be Aes Labs,PLAXPOT,等离子皮肤再生仪 (Plasma Device),bad_text:title:,4
REC_0552,Be Aes Labs,PLAXPOT Tips,等离子导入头 (Plasma Tip),no_local_spec_rows,
REC_0555,Polytech Health & Aesthetics,Polytech,Microthane / Diagon\Gel,bad_text:title:,5
REC_0558,Dives Med,Power Skin / Meso Series,Mesotherapy,no_usable_explicit_window,12
REC_0559,Promoitalia,PQ Age / Pink Intimate,PQ Age Evolution,no_usable_explicit_window,16
REC_0560,Ema Aesthetics,Préime,Préime DermaFacial,no_usable_explicit_window,3
REC_0562,Medency,Primo,Primo / Triplo,no_usable_explicit_window,4
REC_0566,IBSA Derma,Profhilo,Profhilo Body,no_usable_explicit_window,27
REC_0568,EmCyte,Progenisa,Biologics,no_usable_explicit_window,2
REC_0569,Caregen,Prostrolane Series,Peptide Dermal Filler,no_local_spec_rows,
REC_0570,Protect-Laserschutz,Protect,Laser Safety Eyewear,no_usable_explicit_window,78
REC_0571,Arkana Cosmetics,PRP-like Therapy,仿生肽与微针,no_usable_explicit_window,17
REC_0572,Lameditech,Puraxel,Puraxel-Me,no_usable_explicit_window,15
REC_0573,Croma Pharma,Pure HA / Farewell,Post-Procedure,no_usable_explicit_window,7
REC_0574,EmCyte,PurePRP / GenesisCS,PRP Kit,no_usable_explicit_window,28
REC_0579,S. Thepharm,QTFill,QTFill Plus,no_usable_explicit_window,8
REC_0582,Quanta System,Quanta,Thunder MT,no_usable_explicit_window,37
REC_0583,Quanta System,Quanta,Youlaser MT,no_usable_explicit_window,35
REC_0585,El.En.,Quanta System,Thunder MT,no_usable_explicit_window,31
REC_0587,Lumibird,Quantel,Aran / Compact,no_usable_explicit_window,100
REC_0588,BeautyBio,R45 The Reversal,Retinol System,no_local_spec_rows,
REC_0594,Glyance,RefillHA,RefillHA (Solid/Ultra Solid),no_usable_explicit_window,24
REC_0595,Bomtech Electronics,Refine,Auto-MTS,no_local_spec_rows,
REC_0596,Regen Lab SA,Regen Lab,RegenKit (BCT / THT),no_usable_explicit_window,21
REC_0597,Neogenesis,Regenovue,Regenovue (Deep/Sub-Q),no_usable_explicit_window,6
REC_0598,Tentech,Regevan,Regevan PN,no_local_spec_rows,
REC_0599,Kaizen Endustri,REIN / AdiponanoX,AdiponanoX,no_usable_explicit_window,47
REC_0605,Biotec,Renova,Facial Platform,no_usable_explicit_window,13
REC_0611,Prollenium Medical,Revanesse,Revanesse Versa / Lips,bad_text:available in,30
REC_0612,Canfield Scientific,Reveal Imager,Portable Imager,no_usable_explicit_window,3
REC_0616,InMode,RFAL Family,BodyTite / FaceTite / AccuTite / NeckTite,no_usable_explicit_window,31
REC_0618,JMBiotech,RIBESKIN,CO2 Carboxy / Pink Aging,no_usable_explicit_window,26
REC_0622,Skin Tech,RRS,RRS HA Tensor Lift,no_usable_explicit_window,11
REC_0622_RRS_HA_LONG_LASTING,Skin Tech,RRS HA Long Lasting,RRS HA Long Lasting,no_usable_explicit_window,25
REC_0623,Skin Tech,RRS,RRS HA Injectable,no_usable_explicit_window,33
REC_0624,Skin Tech,RRS,RRS HA Eyes,no_usable_explicit_window,18
REC_0625,Skin Tech,XL Hair,XL Hair,no_usable_explicit_window,5
REC_0630,DSD Pharm,Scalp Peeling (1.3),Scalp Detox,no_usable_explicit_window,2
REC_0634,Cynosure,SculpSure,Submental Fat,no_usable_explicit_window,20
REC_0637,e Sebbin,Sebbin,Integrity / Purity,no_local_spec_rows,
REC_0638,Ilooda,Secret,Secret RF / Duo,no_usable_explicit_window,25
REC_0640,Senté Labs,Senté,Dermal Repair Cream,no_usable_explicit_window,18
REC_0643,Meddrop BMT,Seyo,Seyo TDA,no_local_spec_rows,
REC_0647,Sinclair Pharma,Sinclair,Préime DermaFacial,no_usable_explicit_window,13
REC_0649,Fillmed,Skin Perfusion,Post-Procedure Skincare,no_usable_explicit_window,6
REC_0654,ItalFarmacia,Skin-B / Skin-R,Amino Acid Precursors,no_usable_explicit_window,7
REC_0655,L'Oréal,SkinCeuticals,CE Ferulic / Phyto Corrective,no_usable_explicit_window,9
REC_0656,Skinderma Medical,Skinderma,Meso Vials,no_usable_explicit_window,23
REC_0663,BioPlus,SkinPlus-Hyal,HA Dermal Filler,no_usable_explicit_window,6
REC_0667,Benev,Smart Peels,Modified Acid System,no_local_spec_rows,
REC_0668,DEKA,SmartPico,Picosecond Laser,no_local_spec_rows,
REC_0670,Collagen Matrix / Regenity Biosciences,Soft Tissue Reinforcement,Soft Tissue Scaffold,no_local_spec_rows,
REC_0671,VIVACY,SoftFil,Precision / EasyGuide,bad_text:available in,93
REC_0683,MedixSysteme,SygmaLift,SygmaLift,no_local_spec_rows,
REC_0690,Iskra Medical,Tesla Former,Tesla Former / Care,no_usable_explicit_window,9
REC_0705,Alvi Prague,TL-700 / Pico-Light,皮秒/调Q激光,no_usable_explicit_window,22
REC_0708,HJorations,TOXPIA,TOXPIA 100u,no_usable_explicit_window,6
REC_0709,TRIA Beauty,Tria,Hair Removal Laser 4X,no_usable_explicit_window,18
REC_0711,InMode,Triton,Triton Duo (755/810/1064),no_usable_explicit_window,14
REC_0714,TSK Laboratory,TSK,The Invisible Needle,no_usable_explicit_window,83
REC_0717,U.SK / Under Skin,U.SK,U.SK Anti-Aging,no_usable_explicit_window,12
REC_0720,A.A.M.S.,Ultim,Mesogun,source_not_official_enough,6
REC_0723,Classys,Ultraformer III / MPT (Shurink),HIFU (Ultrasound),no_usable_explicit_window,107
REC_0725,Beamed,Unixel RF,CO2 Fractional Laser,source_not_official_enough,13
REC_0726,Body Health,Unyque / Unilift,Facial Rejuvenation,no_usable_explicit_window,8
REC_0727,Korust,Utims,Utims A3,no_local_spec_rows,
REC_0728,Korust,UTIMS,UTIMS A3 / A3-P,no_usable_explicit_window,24
REC_0730,Utsukusy Cosmetics,Utsukusy,Dragon's Blood / Hyaluron,no_usable_explicit_window,6
REC_0736,Alvi Prague,Vascu-X (980nm),血管治疗激光,no_local_spec_rows,
REC_0738,Promoitalia,V-Carbon,V-Carbon System,no_usable_explicit_window,6
REC_0739,Canfield Scientific,VECTRA XT / H2,3D Simulation,no_usable_explicit_window,2
REC_0742,TransLite,Veinlite,Veinlite LED+ / EMS,no_usable_explicit_window,20
REC_0747,Daeyang Medical,VinuShape,Body Contouring,no_local_spec_rows,
REC_0748,Sinclair Pharma,Viora,Reaction,no_usable_explicit_window,11
REC_0749,Sinclair Pharma,Viora,V-Series (V10/V20/V30),source_not_official_enough,33
