task_id,phase,priority,workstream,source_id,target_dataset,target_table,scope,years,segments,metrics,method,status,blocking_dependency,next_action,acceptance_check
cdp3_brazil_sbcp_locator_endpoint_mapping,3,7,channel_density,brazil_sbcp_surgeon_locator,commercial_channel_coverage,new_table,Brazil,latest_snapshot,"state;city;member",surgeon_locator_count,locator_form_endpoint_mapping,source_page_discovered,form_endpoint_mapping,"Inspect SBCP locator form/network endpoint and extract aggregate counts rather than personal contact data.","Only aggregate member/provider counts enter dashboard; personal contact details are excluded."
cdp3_japan_mhlw_aesthetic_physician_density,3,8,channel_density,japan_mhlw_aesthetic_medicine_status,commercial_channel_coverage,new_table,Japan,"2008-2022","specialty;clinic_physician",clinic_physician_count,pdf_table_extraction_with_metric_qa,source_pdf_acquired,none,"Extract MHLW clinic physician counts for cosmetic surgery plastic surgery and dermatology where tables are machine-readable.","Japan physician-density proxy has source-labeled specialty-year rows and is not treated as treatment volume."
cdp3_japan_medical_info_net_provider_density,3,9,channel_density,japan_mhlw_medical_info_net,commercial_channel_coverage,new_table,Japan,latest_snapshot,"facility;specialty;prefecture",facility_count;city_coverage,locator_form_endpoint_mapping,source_page_discovered,endpoint_mapping,"Map the MHLW Medical Information Net query flow for cosmetic surgery and plastic surgery specialty filters and aggregate facility counts.","Only aggregate provider counts by geography enter the dashboard; personal contact data is excluded."
cdp3_france_cnom_surgeon_denominator,3,10,channel_density,france_cnom_medical_demography_atlas,commercial_channel_coverage,new_table,France,2025,"region;department;specialty_group",physician_count;surgeon_density,pdf_table_extraction_with_metric_qa,source_pdf_acquired,none,"Extract CNOM physician and surgical-specialty denominator tables for France regional density context.","France channel proxy uses CNOM official denominator rows and does not claim aesthetic procedure volume."
cdp3_france_sofcep_surgeon_context,3,11,channel_density,france_sofcep_surgery_context,commercial_channel_coverage,new_table,France,latest_snapshot,"surgeon;association_context",qualified_surgeon_count_context,html_claim_extraction_with_cnom_crosscheck,source_page_discovered,cnom_crosscheck,"Cross-check the SOFCEP qualified surgeon statement with CNOM before using it as a visible denominator.","SOFCEP context is displayed as association context unless cross-checked against an official denominator."
cdp3_switzerland_fmh_plastic_surgery_denominator,3,12,channel_density,switzerland_fmh_physician_statistics,commercial_channel_coverage,new_table,Switzerland,2024,"specialty;gender",plastic_surgeon_count,interactive_table_or_endpoint_mapping,source_page_confirmed,endpoint_mapping,"Map the FMH interactive statistics page or export endpoint for plastic surgery physician counts and keep gender split if machine-readable.","Switzerland rows are source-labeled FMH denominator rows and not treated as treatment volume."
cdp3_switzerland_society_provider_context,3,13,channel_density,switzerland_plastic_surgery_society,commercial_channel_coverage,new_table,Switzerland,latest_snapshot,"society;quality;member",association_context,html_claim_extraction,source_page_discovered,none,"Inspect Swiss Plastic Surgery society pages for member or provider discovery paths and quality context.","Swiss association context appears as provider/channel context unless aggregate member counts are verifiable."
cdp3_czech_nrpzs_provider_density,3,14,channel_density,czech_nrpzs_provider_registry,commercial_channel_coverage,new_table,Czech Republic,latest_snapshot,"facility;specialty;location",provider_count;city_coverage,locator_query_or_html_extraction,source_page_discovered,endpoint_mapping,"Map NRPZS query/filter behavior for plastic surgery providers and aggregate facility counts by geography.","Only aggregate provider counts enter the dashboard; personal contact details are excluded."
cdp3_czech_cspch_society_context,3,15,channel_density,czech_cspch_society_context,commercial_channel_coverage,new_table,Czech Republic,latest_snapshot,"society;official_website",association_context,html_claim_extraction,source_page_discovered,official_website_mapping,"Use EASAPS/ESAPS Czech society page to resolve the official national society site and any public member/provider paths.","Czech society context remains separate from treatment volume and is used for source discovery."
cdp3_canada_cihi_physician_density,3,16,channel_density,canada_cihi_physician_specialty,commercial_channel_coverage,new_table,Canada,"1971-2024","specialty;province",physician_density;specialty_count,html_or_data_table_extraction,source_page_discovered,none,"Extract CIHI physician-per-100000 specialty indicator and isolate plastic surgery if exposed in accessible tables.","Canada denominator rows are source-labeled CIHI and do not claim treatment volume."
cdp3_canada_csps_society_context,3,17,channel_density,canada_csps_society_context,commercial_channel_coverage,new_table,Canada,latest_snapshot,"society;member",association_context;member_count_context,html_claim_extraction,source_page_discovered,none,"Capture CSPS member-scale and society context for Canada provider-density interpretation.","CSPS context is displayed as association context unless a verifiable denominator table is available."
cdp3_canada_csaps_locator_density,3,18,channel_density,canada_csaps_surgeon_locator,commercial_channel_coverage,new_table,Canada,latest_snapshot,"province;city;member",surgeon_locator_count,locator_endpoint_mapping,source_page_discovered,endpoint_mapping,"Map CSAPS surgeon locator and aggregate aesthetic plastic surgeon counts by province/city.","Only aggregate counts enter dashboard; personal contact fields are excluded."
cdp3_poland_nil_specialist_denominator,3,19,channel_density,poland_nil_physician_statistics,commercial_channel_coverage,new_table,Poland,"2025;latest_available","specialty;medical_chamber",plastic_surgeon_count;physician_count,html_download_table_extraction,source_page_discovered,none,"Extract NIL central physician-register statistical tables and isolate plastic surgery specialist counts where available.","Poland denominator rows are source-labeled NIL and not treated as procedure volume."
cdp3_poland_ptchprie_locator_density,3,20,channel_density,poland_ptchprie_surgeon_locator,commercial_channel_coverage,new_table,Poland,latest_snapshot,"city;surgeon;hospital_department",surgeon_locator_count;department_count,html_locator_extraction,source_page_discovered,none,"Extract aggregate counts from PTChPRiE surgeon finder and hospital department list.","Only aggregate locator/dependency counts enter dashboard; no unnecessary personal contact data."
cdp3_sweden_socialstyrelsen_denominator,3,21,channel_density,sweden_socialstyrelsen_hosp_register,commercial_channel_coverage,new_table,Sweden,latest_available,"profession;specialist",authorised_professional_count;specialist_denominator,registry_endpoint_mapping,source_page_discovered,endpoint_mapping,"Map Socialstyrelsen HOSP/statistics endpoints for specialist healthcare professional denominator data.","Sweden denominator context is source-labeled and not used as treatment volume."
cdp3_sweden_spkf_society_context,3,22,channel_density,sweden_spkf_society_context,commercial_channel_coverage,new_table,Sweden,latest_snapshot,"society;specialist",association_context,html_claim_extraction,source_page_discovered,none,"Capture SPKF specialist-society context and any public annual activity/statistics links.","SPKF context remains society/provider context unless verified numeric tables are available."
cdp3_sweden_sfep_locator_density,3,23,channel_density,sweden_sfep_surgeon_locator,commercial_channel_coverage,new_table,Sweden,latest_snapshot,"city;surgeon;member",surgeon_locator_count,locator_endpoint_mapping,source_page_discovered,endpoint_mapping,"Map SFEP aesthetic plastic surgeon locator and aggregate member counts by geography.","Only aggregate member/provider counts enter dashboard; personal contact fields are excluded."
cdp4_world_bank_macro_layer,4,1,macro_demand,world_bank_wdi,commercial_macro_demand,new_table,global,"2015-2025",macro_indicator,"population;gdp_per_capita;urbanization;ageing",api_indicator_pull,planned,indicator_code_review,"Select 8-12 WDI indicators and pull country-year macro denominators.","Macro table covers dashboard countries and can join by ISO/country/year."
cdp4_oecd_health_capacity,4,2,macro_demand,oecd_health_statistics,commercial_macro_demand,new_table,OECD,"2015-2025",health_indicator,"physician_density;health_spending;healthcare_capacity",api_indicator_pull,planned,indicator_code_review,"Pull OECD healthcare capacity indicators for comparable countries.","OECD rows are source-labeled and flagged as OECD-only coverage."
cdp4_korea_mohw_foreign_patient_specialty_proxy,4,3,macro_demand,korea_mohw_foreign_patient_stats,commercial_macro_demand,new_table,South Korea,"2025 release","specialty;origin_country",foreign_patient_count;specialty_mix,pdf_or_hwpx_table_extraction,source_pdf_acquired,none,"Extract MOHW foreign patient statistics PDF/HWPX captured by collect_geo_market_source_discovery.py; isolate dermatology and plastic surgery where disclosed.","Rows are labeled medical-tourism demand proxy and never overwrite ISAPS Korea treatment volume."
cdp4_korea_khiss_health_industry_endpoint_mapping,4,4,macro_demand,korea_khiss_health_industry_stats,commercial_macro_demand,new_table,South Korea,"2020-present","indicator;specialty",medical_tourism_indicator;health_industry_indicator,portal_endpoint_mapping,source_page_discovered,endpoint_mapping,"Map KHISS/KHIDI public endpoints for structured Korea health industry and medical-tourism tables.","Only documented public tables are ingested; page links alone remain discovery evidence."
cdp4_market_report_secondary_triage,4,3,forecast_proxy,market_report_archive,commercial_claims,commercial_claims,"global;region;country","reported_year;forecast_year","market_category;segment",market_size;forecast_cagr;market_share,claim_extraction_with_conflict_guard,live_but_secondary,none,"Reclassify market reports as secondary forecast/proxy evidence after backbone metrics exist.","Market report claims remain visible as estimates and do not overwrite treatment/revenue/channel facts."
cdp4_google_trends_pilot,4,4,interest_proxy,google_trends_social_search,commercial_interest_proxy,new_table,"USA;Brazil;Europe;South Korea;Japan","2020-2026","procedure;brand",search_interest_index,manual_export_or_api_proxy,planned,query_dictionary,"Create controlled query dictionary for botox/filler/EBD terms in target markets.","Interest proxy rows carry query term, region, normalized index and proxy caveat."
cdp4_hong_kong_consumer_medical_beauty_heat,4,5,interest_proxy,hong_kong_consumer_medical_beauty_complaints,commercial_interest_proxy,new_table,Hong Kong,latest_snapshot,"complaint;service_type",complaint_count_or_claim;regulatory_heat,document_claim_extraction,source_page_discovered,none,"Extract Consumer Council medical beauty complaint/regulatory signals only as heat/risk proxy.","Output is clearly labeled consumer/risk proxy and not used as market size."
cdp4_israel_society_survey_heat,4,6,interest_proxy,israel_plastic_surgery_society_news,commercial_interest_proxy,new_table,Israel,"2025-2026","news_topic;treatment_type;specialist",association_survey_claim;procedure_interest_heat,html_claim_extraction_with_proxy_label,source_page_discovered,none,"Extract Israeli association survey and news claims only as heat or demand proxy until official treatment tables are found.","Israel rows are visibly labeled as association survey or interest proxy and never used as confirmed treatment volume."
cdp4_israel_ima_society_context,4,7,interest_proxy,israel_ima_society_context,commercial_interest_proxy,new_table,Israel,2025,"specialty;association",specialty_context,html_pdf_context_extraction,source_pdfs_acquired_context_only,none,"Use the IMAJ Israel plastic surgery issue as source-discovery and specialty context for Israeli society coverage.","IMAJ context appears only as source context and does not add market-size or treatment-volume claims."
