optimization_group,optimization_group_title,work_mode,optimization_score,company,brand,standard_product_name,track,form,verification_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,issues,improvement_reason,recommended_next_action,product_id,seed_record_id
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,S&V Technologies GmbH,amalian SF,amalian SF line Dermal Implants,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_e95c063a28e2,REC_1036
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,"SCL CO., LTD.",A-Viearchee,A-Viearchee HA Filler,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_92ea4756fe77,REC_1034
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,USCAREPHARM,ERBELLA,ERBELLA PLA PLUS AQ / EPI,Injectables,Skin Booster,official_spec_candidate_cross_checked,0,0,1,0,2,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_87053e266024,REC_1053
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,WEDERM,POWER COL-TRA,POWER COL-TRA,Injectables,Biostimulator,official_spec_candidate_cross_checked,0,0,1,0,2,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_197658025e6f,REC_1050
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,YooYoung Pharmaceutical,Modified Sodium Hyaluronate Gel,HA Dermal Filler,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_7afe7d757a2c,NMPA_IMPORT_YOOYOUNG_HA_20260601
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Allergan,Juvéderm Ultra XC,HA Filler for Lip Augmentation,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.juvederm.com/,https://www.juvederm.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P050047S044,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_d4b991529f99,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Allergan,Juvéderm Volbella XC,HA Filler for Lips and Undereye,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.juvederm.com/,https://www.juvederm.com/,https://www.fda.gov/medical-devices/recently-approved-devices/juvedermr-volbellar-xc-p110033-s053,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_2ebb30c557be,TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Allergan,Juvéderm Vollure XC,HA Filler for Smile Lines,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.juvederm.com/,https://www.juvederm.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P110033S020,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_006e5b2f46c8,TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Allergan,LATISSE,Bimatoprost Eyelash Growth,Skincare,Cosmeceutical,official_product_and_spec_cross_checked,19,0,28,0,1,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022369_latisse_toc.html,https://www.allerganaesthetics.com/latisse,https://professional.latisse.com/,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_d40850afd216,REC_0801
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Allergan,REVOLVE,REVOLVE Advanced Adipose System,Surgical,Liposuction,official_product_and_spec_cross_checked,13,0,13,0,1,0,0,https://www.allerganaesthetics.com/brands/revolve,https://www.allerganaesthetics.com/brands/revolve,,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_2fe1895b624f,TOPLINE_ALLERGAN_REVOLVE_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Galderma,ALASTIN Skincare,TriHex Technology Skincare,Skincare,Cosmeceutical,official_product_and_spec_cross_checked,35,0,54,0,1,1,0,https://alastin.ca/products/regenerating-skin-nectar,https://alastin.com/pages/trihex-ingredient,https://www.galderma.com/news/galderma-launches-alastin-skincarer-reform-repair-complex-trihex-technologyr-designed-assist,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_09cdf2012b4c,REC_0810
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Galderma,Restylane Kysse,HA Filler for Lips,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/us/sites/default/files/2020-04/Restylane_Kysse-IFU.pdf,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_0ccb09310f48,TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Galderma,Restylane Lyft,HA Filler for Cheeks and Hands,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/us/sites/default/files/2023-06/Restylane_Lyft_e-IFU_USA.pdf,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_6a5c0a95c13d,TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Galderma,Restylane Refyne,HA Filler for Dynamic Facial Folds,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/news/galderma-receives-fda-approval-restylaner-kysse-new-hyaluronic-acid-ha-filler-specifically,https://www.galderma.com/us/sites/default/files/2023-06/Restylane_Refyne_e-IFU_USA.pdf,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_f855bda3a241,TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Galderma,Restylane Skinboosters Vital Light,HA Skin Quality Booster for Delicate Areas,Injectables,Skin Booster,official_product_and_spec_cross_checked,13,0,13,0,1,0,0,https://www.galdermaaesthetics.com/hydrated-skin-with-restylane-skinboosters,https://www.galdermaaesthetics.com/hydrated-skin-with-restylane-skinboosters,,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_36cccb3f5f45,TOPLINE_GALDERMA_RESTYLANE_VITAL_LIGHT_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,Injectables,Biostimulator,official_product_and_spec_cross_checked,13,0,13,0,1,1,0,https://sinclair.com/brands/injectables-and-threads/lanluma/,https://sinclair.com/brands/injectables-and-threads/lanluma/,https://sinclair.com/uk/brands/injectables-and-threads/lanluma/,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_ab483f36c201,TOPLINE_SINCLAIR_LANLUMA_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,23,Sinclair Pharma,Perfectha,HA Dermal Filler Line,Injectables,Dermal Filler,official_product_and_spec_cross_checked,13,0,13,0,1,0,0,https://sinclair.com/brands/injectables-and-threads/perfectha/,https://sinclair.com/brands/injectables-and-threads/perfectha/,,no_reviewed_differentiator | priority_company,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_357be20483fc,TOPLINE_SINCLAIR_PERFECTHA_20260530
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Allergan,AlloDerm,Regenerative Tissue Matrix,Implants,Tissue Matrix,official_product_and_spec_cross_checked,23,0,34,0,2,1,18,https://www.allerganaesthetics.com/brands/regenerative-medicine,https://www.allerganaesthetics.com/brands/regenerative-medicine,https://hcp.alloderm.com/faq,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_5cc349a9cf82,REC_0802
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Allergan,CoolTone,Magnetic Muscle Stimulation,EBD,EMS,official_product_and_spec_cross_checked,19,0,17,0,1,1,18,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192940.pdf,https://www.cooltone.com/,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192940.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_313ad848396d,REC_0799
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Allergan,DiamondGlow,Dermal Infusion System,EBD,Skin Management,official_product_and_spec_cross_checked,23,0,28,0,2,1,15,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfrl/rl.cfm?regnum=297020&start_search=1,https://www.allerganbrandbox.com/,https://www.allerganaesthetics.com/brands/diamond-glow,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_2f21fb385a5e,REC_0800
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Allergan,Juvéderm Voluma XC,HA Filler for Midface,Injectables,Dermal Filler,official_evidence_promoted,21,0,27,0,8,8,18,https://www.accessdata.fda.gov/cdrh_docs/pdf11/P110033S065B.pdf,https://www.rxlist.com/juvandeacutederm-voluma-xc-drug.htm,https://www.accessdata.fda.gov/cdrh_docs/pdf11/p110033c.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_cd13d8de762e,REC_0803
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Allergan,Juvéderm Volux XC,HA Filler for Jawline,Injectables,Dermal Filler,official_evidence_promoted,20,0,19,0,5,4,18,https://www.accessdata.fda.gov/cdrh_docs/pdf11/P110033S065D.pdf,https://www.fda.gov/medical-devices/recently-approved-devices/juvederm-volux-xc-p110033s065,https://www.accessdata.fda.gov/cdrh_docs/pdf11/P110033S065B.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_cfea975bbd77,REC_0804
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Alma Lasers,Alma Duo,Focused Shockwave Therapy,EBD,Other EBD,official_product_and_spec_cross_checked,23,0,17,0,2,1,15,https://almainc.com/product/alma-duo/,https://almalasers.com/,https://www.alma-medicaldevices.com/news/our-medical-devices-got-the-mdr-certification,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_551e6ced4520,REC_0849
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Alma Lasers,Alma PrimeX,Enhanced RF + Ultrasound,EBD,Radiofrequency,official_product_and_spec_cross_checked,27,0,66,0,2,1,9,https://1stoplaser.com/product/alma-prime-x/,https://patients.almainc.com/,https://almalasers.com/product/alma-primex/,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_a09a829cb9a8,REC_0853
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Alma Lasers,BeautiFill,Laser-Assisted Liposuction,EBD,Laser,official_product_and_spec_cross_checked,24,0,44,0,2,0,18,https://almainc.com/,http://almalasers.com/alma-products/lipolife/,https://www.alma-medicaldevices.com/news/our-medical-devices-got-the-mdr-certification,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_5d2abd632f97,REC_0852
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Alma Lasers,DermaClear,Hydradermabrasion System,EBD,Skin Management,official_product_and_spec_cross_checked,32,0,33,0,2,0,15,https://alma-lasers.com.au/product/dermaclear/,https://almalaserbd.com/quality-assurance/,https://www.alma-medicaldevices.com/news/our-medical-devices-got-the-mdr-certification,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_29134424e03e,REC_0851
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Alma Lasers,Soprano Titanium SE,3D Triple-Wavelength Hair Removal,EBD,Laser,official_product_and_spec_cross_checked,18,0,14,0,1,1,9,https://www.alma-soprano.com/,https://www.almalasers.co.in/alma-products/soprano-titanium/,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230371.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_2ed2930dc567,REC_0846
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,EMFACE Submentum,RF + HIFES for Submental,EBD,Radiofrequency,official_product_and_spec_cross_checked,12,0,19,0,2,0,18,https://aestheticmedicalpractitioner.com.au/products-services/devices/introducing-emface-submentum-by-btl/,https://www.btlaesthetics.com.ph/emface/submentum,https://sanoplast.de/en/brand/emface/,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_a816d8a3af2e,REC_0868
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,EMFEMME 360,360-Degree RF Vaginal,EBD,Radiofrequency,official_product_and_spec_cross_checked,13,0,25,0,2,1,9,https://www.artemedica.com/emfemme-360-vaginal-rejuvenation/,https://btlaesthetics.com/,https://btlaesthetics.com/en/for-providers/emfemme-360-providers,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_154406bbd526,REC_0869
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,EXION Clear RF,RF for Skin Clarity,EBD,Radiofrequency,official_product_and_spec_cross_checked,14,0,24,0,2,0,18,https://auradent.clinic/en/aesthetic-services/advanced-tech/btl-exion-en/clear-rf-treatment/,https://bodybybtl.com/solutions/exion,https://bodybybtl.com/solutions/exion,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_b5b0c31cc885,REC_0867
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,EXION Face,Monopolar RF + Targeted Ultrasound,EBD,Radiofrequency,official_product_and_spec_cross_checked,14,0,24,0,2,0,18,https://advanteaesthetics.com/exion-face/,https://bodybybtl.com/solutions/exion,https://www.btlaesthetics.com.ph/exion/face,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_ecb9ce655791,REC_0873
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,EXION Fractional RF,AI-Controlled Fractional RF,EBD,Radiofrequency,official_product_and_spec_cross_checked,16,0,20,0,2,0,9,https://bodybybtl.com/solutions/exion,https://btlaesthetics.com.au/,https://www.btlaesthetics.com.ph/exion/face,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_2465634bea74,REC_0872
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,Exilis Ultra,RF + Ultrasound Combination,EBD,Radiofrequency,official_evidence_promoted,11,0,46,0,2,0,18,https://btl-vn.firmstudio.com/exilis/,https://btlaesthetics.com.au/for-providers/exilis-providers/,https://www.accessdata.fda.gov/cdrh_docs/pdf9/K092191.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_565dcef1d971,REC_0871
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,Exilis Ultra 360,Skin Tightening,EBD,Radiofrequency,official_evidence_promoted,12,0,54,0,2,1,18,https://www.accio.com/plp/btl-exilis-ultra-360,https://btlaesthetics.com.au/for-providers/exilis-providers/,https://health.ec.europa.eu/document/download/48a9da20-249d-494d-a34c-58d7670c9a86_en?filename=md_eudamed_udi-devices-module_en.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_3caba46020d5,REC_0257
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,BTL,Vanquish ME,Contactless Fat Reduction,EBD,Radiofrequency,official_product_and_spec_cross_checked,12,0,35,0,2,2,15,https://btlaesthetics.com.au/for-providers/vanquishme-providers/,https://btlaesthetics.com.au/for-providers/vanquishme-providers/,https://btlaesthetics.com.au/for-providers/vanquishme-providers/,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_8f01c851e9a7,REC_0733
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,CO2RE,CO2 Fractional Laser,EBD,Laser,official_evidence_promoted,28,0,95,0,4,1,9,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfrl/rl.cfm?regnum=238449&start_search=1,http://www.untlaserbeauty.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K151655,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_14411b4c02ed,REC_0858
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,CO2RE Intima,CO2 for Womens Health,EBD,Laser,official_product_and_spec_cross_checked,20,0,25,0,2,1,11,https://aestheticmed.co.uk/syneron-candela-announces-ce-mark-for-co2re-intima,https://syneroncandela.fi/index.php/wallstreet_portfolio/intimate-wellness/,https://www.sec.gov/Archives/edgar/data/1291361/000117891317000912/zk1719746.htm,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_d3e0d17efc06,REC_0859
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,Frax Pro,Dual-Wavelength Fractional,EBD,Laser,official_product_and_spec_cross_checked,20,0,56,0,2,0,15,https://candela.rs/proizvodi/frax-pro/,https://candela.rs/proizvodi/frax-pro/,https://www.dermatologytimes.com/view/candela-launches-frax-pro-system,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_36ae1e81e1bc,REC_0860
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,GentleMax Pro Plus,Enhanced Dual-Wavelength Hair Removal,EBD,Laser,official_product_and_spec_cross_checked,23,0,47,0,1,1,15,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=k201111,https://candelamedical.com/ppc/gentle-laser-machines/,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201111.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_4214253b3699,REC_0856
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,Glacē,Hydro-Dermabrasion + LED,EBD,LED/Light Therapy,official_product_and_spec_cross_checked,28,0,44,0,2,0,18,https://www.browardbeautyinstitute.com/courses/glacecertification,https://candelamedical.com/,https://candelamedical.com/products/glace-hydrodermabrasion/,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_40519e61ef99,REC_0865
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,Matrix,Triple-in-One RF System,EBD,Radiofrequency,official_product_and_spec_cross_checked,30,0,61,0,2,1,18,https://candelamedical.com/ppc/matrix/,https://candelamedical.com/,https://downloads.candulor.com/downloads/nfc-4/,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_77489f7a14c5,REC_0861
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,PicoWay,Quad-Wavelength Picosecond,EBD,Laser,official_evidence_promoted,39,0,95,0,4,1,18,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220853.pdf,https://marketing.candelamedical.com/rs/620-HCU-218/images/PU07561EN_RevB_PicoWay-eBook%20spread.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K150326.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_1f1866e04ec2,REC_0857
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,Profound Matrix,Long-Pulse RF Microneedling,EBD,Microneedling,official_document_cross_checked,24,0,29,0,1,1,18,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K240070,https://candelamedical.com/press-releases/candela-introduces-the-new-fda-cleared-profound-matrix-system/,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240070.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_a170296c3824,REC_0862
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,UltraShape Power,Focused Pulsed Ultrasound,EBD,HIFU,official_document_cross_checked,20,0,20,0,1,1,18,https://www.accessdata.fda.gov/cdrh_docs/pdf14/K141708.pdf,https://marketing.candelamedical.com/rs/620-HCU-218/images/27446%20Syneron%20Candela%20APAC%20-%20UltraShape%20Power%20Product%20Brochure%20%E2%80%93PB89574EN-CH_LR.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf14/K141708.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_9b5ffc5b23ee,REC_0863
H_closed_monitor,H. 已闭合，仅保留观察,观察,22,Candela,Vbeam Prima,Dual-Wavelength PDL,EBD,Laser,official_evidence_promoted,20,0,64,0,2,1,9,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230990.pdf,https://candelamedical.com/patient/brands/vbeam/,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230990.pdf,no_reviewed_differentiator | priority_company | has_review_leads,当前无需处理，作为低频观察项。,Keep as lower-priority monitoring item.,prod_8def999a07ac,REC_0855
