seed_record_id,product_id,company,brand,standard_product_name,source_url,indication
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,https://www.cynosure.com/product/genius/,Intended for use in dermatologic and general surgical procedures for electrocoagulation and hemostasis.
REC_0420,prod_89333a6ecb2d,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,https://www.cynosure.com/product/hollywood-spectra/,"Intended for aesthetic, cosmetic, and surgical applications requiring incision, excision, ablation, or vaporization of soft tissues, and for coagulation and hemostasis in dermatology and general surgery."
REC_0433,prod_a234c1a35679,HOYA ConBio,MedLite C6,Q-Switched Nd:YAG,https://www.cynosure.com/product/medlite-c6/,Indicated for treatment of multi-colored tattoos; the 532Lite handpiece is also used for small pigmented lesions requiring low fluences.
REC_0521,prod_958387dce784,InMode,Optimas,Lumecca / DiolazeXL / Forma / Vasculaze,https://inmodemd.in/workstation/optimasmax/,Intended for dermatological applications requiring contraction or coagulation of soft tissue or hemostasis.
REC_0736,prod_ef08e393fe1a,Alvi Prague,Vascu-X (980nm),血管治疗激光,https://alvi-prague.ae/cosmetic-lasers/vascular-laser/,"Indicated for vascular laser treatment of couperose, vascular nets and stars, rosacea in the telangiectatic stage, and other conditions involving dilated arterioles, capillaries, and venules."
REC_0840,prod_7324404d6066,InMode,ApexRF,Mens Health RF,https://accessgudid.nlm.nih.gov/devices/07290019863359,"Indicated for temporary relief of minor muscle aches and pain, temporary relief of muscle spasms, and temporary improvement of local blood circulation."
REC_0845,prod_98f9e82486da,InMode,AccuTite,Precision RFAL for Small Areas,https://inmodemd.in/workstation/igniterf/,"Indicated for procedures requiring soft tissue contraction, electrocoagulation, hemostasis, and fractional treatments requiring penetration levels up to 60 mm."
REC_0864,prod_1b140597af83,Candela,VelaShape III,IR+RF+Vacuum+Massage,https://marketing.candelamedical.com/rs/620-HCU-218/images/PB83217EN-CN_APAC_VelaShapeIII_Brochure_LRPDF_2019.pdf,Indicated for non-invasive body contouring through temporary cellulite and circumference reduction.
REC_0891,prod_edc4e0d05136,IBSA Derma,Aliaxin GP,HA Filler Global Performance,https://www.ibsa-pharma.de/produkte/aliaxin-gp.html,"Indicated for marionette lines, nasolabial folds, glabellar lines, local volume restoration, and refresh treatments."
REC_0910,prod_8b39379aa1d5,Quanta System,Chrome Lase-Station,Multi-Application Workstation,https://www.quantasystem.com/us/laser/chrome/,"Intended for multiple dermatology and aesthetic laser treatments, including wrinkles, benign pigmented lesions, multicolor tattoo removal, acne scars, and hair removal depending on the selected module."
REC_0915,prod_3400c9753eb0,Classys,AQUAPURE,AQUAPURE,https://eclassys.com/product/aquapure/,"Indicated to improve skin tone, texture, and elasticity and to treat uneven skin tone, sun damage or hyperpigmentation, dehydrated skin, oily and acne-prone skin, fine lines, and wrinkles."
REC_0989,prod_f5457b0f3693,Sciton,BBL,BBL HEROic,https://sciton.com/bbl-heroic/,"Indicated for telangiectasia, poikiloderma, cherry angiomas, and low-contrast recalcitrant pigmented lesions including seborrheic keratoses."
REC_1046,prod_c5b300d3de90,Johnson & Johnson,Mentor,CPX4 Plus Enhance Breast Tissue Expander,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241918.pdf,"Indicated for breast reconstruction after mastectomy, correction of an underdeveloped breast, scar revision, and tissue defect procedures; intended for temporary subcutaneous or submuscular implantation not beyond six months."
TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530,prod_d4b991529f99,Allergan,Juvéderm Ultra XC,HA Filler for Lip Augmentation,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P050047S044,"Indicated for injection into the mid-to-deep dermis for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds, and for injection into the lips and perioral area for lip augmentation in adults over 21."
TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530,prod_2ebb30c557be,Allergan,Juvéderm Volbella XC,HA Filler for Lips and Undereye,https://www.fda.gov/medical-devices/recently-approved-devices/juvedermr-volbellar-xc-p110033-s053,"Approved for injection into the lips and skin around the lips to temporarily restore volume and fullness, and for use in the infraorbital hollow area under the eyes in adults over 21."
TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530,prod_006e5b2f46c8,Allergan,Juvéderm Vollure XC,HA Filler for Smile Lines,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P110033S020,"Indicated for injection into the mid-to-deep dermis for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds, in adults over 21."
TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530,prod_0ccb09310f48,Galderma,Restylane Kysse,HA Filler for Lips,https://www.galderma.com/us/sites/default/files/2020-04/Restylane_Kysse-IFU.pdf,Indicated for injection into the lips for lip augmentation and correction of upper perioral rhytids in patients over 21.
TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530,prod_6a5c0a95c13d,Galderma,Restylane Lyft,HA Filler for Cheeks and Hands,https://www.galderma.com/us/sites/default/files/2023-06/Restylane_Lyft_e-IFU_USA.pdf,"Indicated for correction of moderate to severe facial folds and wrinkles such as nasolabial folds, cheek augmentation and correction of age-related midface contour deficiencies, and correction of dorsal hand volume deficit in patients over 21."
TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530,prod_f855bda3a241,Galderma,Restylane Refyne,HA Filler for Dynamic Facial Folds,https://www.galderma.com/us/sites/default/files/2023-06/Restylane_Refyne_e-IFU_USA.pdf,"Indicated for injection into the mid-to-deep dermis for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds, in patients over 21."
