label,seed_record_id,product_id,company,brand,indication,source_url
Aquavit Pharmaceuticals - Aquagold,REC_0453,prod_2cbeab4fe2ad,Aquavit Pharmaceuticals,Microchannel Technology,微通道递送系统，适用于真皮层局部导入与精华递送。,https://www.aquavitpharma.com/post/wipo-publishes-aquavit-s-methods-for-delivering-bioactive-compositions-and-formulations-to-the-skin
Arkana Cosmetics - AzAc Solution,REC_0060,prod_b7b2526b8eda,Arkana Cosmetics,AzAc Solution,复合酸焕肤液，适用于配合 15% 壬二酸面霜使用的治疗前准备与强化。,https://arkanaukprof.com/product/azac-solution-3/
Arkana Cosmetics - Exo Complex,REC_0258,prod_62cba0e9d6a5,Arkana Cosmetics,Exo Complex,高级外泌体疗法，适用于增强皮肤结构、促进皮肤再生及治疗疤痕。,https://arkanauk.com/wp-content/uploads/2023/10/Advanced-Therapy-leaflet-EN.pdf
Bayer - Bepanthen / Bepanthol,REC_0072,prod_ec8160515d34,Bayer,Bepanthen / Bepanthol,适用于保持皲裂或干燥皮肤的完整性、哺乳期乳房护理，以及支持轻微损伤皮肤的再生。,https://www.bayer.com/sites/default/files/Bepanthen%20Oinment%20PIL%20.pdf
Beauty Health - HydraFacial,REC_0334,prod_061f5eef5ccc,Beauty Health,HydraFacial Syndeo / Elite,适用于改善皱纹、轻中度痤疮外观，镇静偶发性红斑，以及清理油性或充血皮肤和粉刺。,https://www.hydrafacial.com/pages/eliteifu
Beauty Health - HydraFacial,REC_0956,prod_21a544b333d3,Beauty Health,HydraFacial,适用于改善皱纹、轻中度痤疮外观，镇静偶发性红斑，以及清理油性或充血皮肤和粉刺。,https://www.hydrafacial.com/pages/the-device
BeautyBio - GloPRO Scalp / Body,REC_0302,prod_cb6416026f22,BeautyBio,GloPRO Scalp / Body,居家微针工具，适用于抚平皱纹外观、改善大腿后侧、臀部和腋下皮肤的紧致度。,https://beautybio.com/products/body-microneedling-roller-attachment?bvstate=pg%3A4%2Fct%3Aq
BenQ - Anscare,REC_0033,prod_1fa762d6e18a,BenQ,Anscare (安美得),硅胶贴/棒，适用于减少表现为隆起或变色的肥厚性疤痕和瘢痕疙瘩。,https://www.anscare.com/en/product/detail/LeniScar_Silicone_Stick
BenQ - DermaAngel,REC_0165,prod_7cdaedaf7de3,BenQ,DermaAngel (护妍天使),含有水杨酸的痤疮贴，适用于深层疏通毛孔和镇静红肿的密集护理。,https://www.derma-angel.com/ourProducts/product/clear_patch_intensive
Benev - Benev Exosome,REC_0070,prod_c22989b2f2ee,Benev,Benev Exosome (ERC / ERC+),冻干外泌体复合物，适用于皮肤和头皮再生的局部外用涂抹。,https://exosomebybenev.com/
BioFormula - Cellulysis,REC_0110,prod_13d2bdde8bc8,BioFormula,Cellulysis / Phosphatidylcholine,含有液态磷脂酰胆碱的活性成分混合物，适用于局部脂肪减少。,https://bioformula.it/en/product/liquid-phosphatidylcholine/
BioPlus - Kiara Reju,REC_0968,prod_4efdfa479c82,BioPlus,Kiara Reju,旨在支持皮肤平滑并改善不均匀皮肤纹理的皮肤动能素。,https://www.rejuran.com.au/pages/s
Biopark Medical - Mesopotamia,REC_0443,prod_91e576f8273b,Biopark Medical,Mesopotamia,适用于护肤应用的外泌体再生产品。,https://e-exosomes.com/inventory
Christina Cosmeceuticals - Rose de Mer,REC_0621,prod_bf4e77a75376,Christina Cosmeceuticals,Rose de Mer,100% 纯天然海洋焕肤产品，适用于无需化学剥脱的专业皮肤更新。,https://christina-cosmeceuticals.com/pages/rose-de-mer
Crown - BIOJUVE,REC_0078,prod_68189138f6d0,Crown,BIOJUVE,局部活体微生态精华与喷雾，适用于恢复皮肤微生物群平衡。,https://biojuve.com/product/living-biome-essentials-duo-probiotic/
A.A.M.S. - Carboxy-Pen,REC_0103,prod_e82970bd0f01,A.A.M.S.,Carboxy-Pen,二氧化碳注入设备，适用于深度可调及剂量可控的皮下 CO2 治疗。,https://medicaldevices-bg.com/therapy-devices/carboxy-pen/
Arion - Gluteal / Calf Implants,REC_0303,prod_439b182b8315,Arion,Gluteal / Calf Implants,硅胶假体，适用于通过放置在现有腓肠肌上方来增强小腿肌肉的形状和大小。,https://www.bodyimplants.com/dt_procedures/calf-implants/
Bomtech Electronics - Digital Pop,REC_0189,prod_719e5b88387e,Bomtech Electronics,Digital Pop / Bom i-Touch,半永久化妆机器，适用于将色素吸入一次性针头并标记到皮肤上。,http://bomtech.net/english/product1_05.html?cate=product1
Brymill - Cry-Baby,REC_0139,prod_74e62b2df37d,Brymill,Cry-Baby®,手持式冷冻外科设备，适用于通过开放式喷雾或接触探头技术受控分配液氮以冷冻皮肤病变。,https://www.brymill.com/docs/default-source/default-document-library/cry-ac_instructions_for_use_rev_4_english_rest_of_worlde920106f6d026b74931bff0000d12bb9.pdf?sfvrsn=0
Canfield Scientific - VISIA,REC_0753,prod_e6f95ed73f12,Canfield Scientific,VISIA Gen7 / Gen8,面部图像分析系统，适用于利用标准光、交叉偏振光和 UV 光记录并测量表面及皮肤底层状况。,https://canfieldsci.com/imaging-systems/visia-complexion-analysis
