matched,seed_record_id,product_id,company,brand,standard_product_name,registered_name,commercial_path_l1,commercial_path_l2,technology_path_l1,technology_path_l2,material_or_energy_source,legal_manufacturer,manufactured_by,marketing_holder,inclusion_status,verification_status,source_status
alma ted,REC_0848,prod_f7018e98cc02,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,,EBD,Other EBD,Ultrasound,Ultrasound,Ultrasound,Alma Lasers,,Alma Lasers,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
hydrafacial,REC_0851,prod_29134424e03e,Alma Lasers,DermaClear,Hydradermabrasion System,,EBD,Skin Management,Hydrafacial,Hydrafacial,Hydrafacial,Alma Lasers,,Alma Lasers,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
dermastir,REC_0178,prod_1c6fc6f4ac97,Alta Care,Dermastir 16 EBF / 32 EBF,皮肤动能素/水光针,Dermastir 16 EBF / 32 EBF,Injectables,Skin Booster,Hyaluronic Acid,,Hyaluronic Acid,Alta Care,Alta Care,Alta Care,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
dermastir|h53egf,REC_0179,prod_ba1adfad2a97,Alta Care,Dermastir H53EGF,头皮注射液,,Injectables,Skin Booster,Hyaluronic Acid,,Hyaluronic Acid,Alta Care,,Alta Care,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
dermastir,REC_0180,prod_cb55e88bc4b4,Alta Care,Dermastir Luxury,真空保鲜护肤品,,Skincare,Cosmeceutical,Cosmeceutical,,Cosmeceutical,Alta Care,,Alta Care,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
carboxy|venusian,REC_0745,prod_58d04fb61007,APS,Venusian CO2 Therapy,Carboxytherapy (卡波西/二氧化碳疗法),,EBD,Laser,Collagen,,Collagen,APS,,APS,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0606,prod_49423946c0eb,Apyx Medical,Renuvion (J-Plasma),氦气等离子 (Helium Plasma),"Apyx Helium Plasma Generator (APYX-200H/P, APYX-JS3/RS3)",EBD,Plasma,Plasma,,Plasma,Apyx Medical,,Apyx Medical,active,official_evidence_promoted,"official_company_ifu, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0936,prod_49c434eaf508,Apyx Medical,Renuvion,Renuvion APR,Renuvion/J-Plasma Precise Handpiece,EBD,Plasma,Helium Plasma + RF,Helium Plasma + RF,Helium Plasma + RF,Apyx Medical,Apyx Medical,Apyx Medical,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page"
api,REC_0937,prod_f578f6aa7bf5,Apyx Medical,J-Plasma,J-Plasma,J-Plasma Precise FLEX Handpiece,EBD,Plasma,Helium Plasma + RF,Cold Atmospheric Plasma,Helium Plasma + RF,Apyx Medical,Apyx Medical,Apyx Medical,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page"
api,REC_0939,prod_89a443ecc902,Apyx Medical,AYON,AYON Body Contouring System,AYON Body Contouring System (AYON SYSTEM),EBD,Plasma,Multi-Modality,Plasma + Liposuction + Power Liposuction,Multi-Modality,Apyx Medical,,Apyx Medical,active,official_evidence_promoted,"official_company_ifu, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
aquagold,REC_0043,prod_88c99020df94,Aquavit Pharmaceuticals,Aquagold Ampoules,医用级安瓶,,Skincare,Cosmeceutical,Growth Factor / Peptide Ampoule,,Growth Factor / Peptide Ampoule,Aquavit Pharmaceuticals,,Aquavit Pharmaceuticals,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
microchannel|aquagold,REC_0044,prod_18999689defb,Aquavit Pharmaceuticals,Aquagold Fine Touch,微通道注射装置,,Consumables,Injection Devices,Microchannel Injection Device,,Microchannel Injection Device,Aquavit Pharmaceuticals,,Aquavit Pharmaceuticals,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
microchannel|aquagold,REC_0453,prod_2cbeab4fe2ad,Aquavit Pharmaceuticals,Microchannel Technology,药物输送技术,,Regenerative,Biotech,Microchannel Drug Delivery,,Microchannel Drug Delivery,Aquavit Pharmaceuticals,,Aquavit Pharmaceuticals,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0060,prod_b7b2526b8eda,Arkana Cosmetics,AzAc Solution,复合酸治疗,,Skincare,Cosmeceutical,Cosmeceutical,,Cosmeceutical,Arkana Cosmetics,,Arkana Cosmetics,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0902,prod_235ebd4ddb77,Asclepion,MeDioStar,810+940nm Diode Hair Removal,MeDioStar,EBD,Laser,Diode Laser,Diode,Diode Laser,Asclepion,,Asclepion,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0903,prod_29c24bf3cc1d,Asclepion,Dermablate,Er:YAG 2940nm Fractional,DERMABLATE EFFECT,EBD,Laser,Er:YAG Laser 2940nm,Er:YAG,Er:YAG Laser 2940nm,Asclepion Laser Technologies,Asclepion Laser Technologies,Asclepion,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0904,prod_0891962ae1ce,Asclepion,PicoStar,Ultra-Short Picosecond,PicoStar,EBD,Laser,Picosecond Laser,Pico,Picosecond Laser,Asclepion,,Asclepion,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0545,prod_7f89df3deeda,Asclepion Laser,PicoStar,皮秒激光,PicoStar,EBD,Laser,Picosecond Laser,,Picosecond Laser,Asclepion Laser,,Asclepion Laser,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
hydrafacial,REC_0333,prod_803e14decc4a,Beauty Health,HydraFacial Boosters,联名加强剂 (Boosters),,Skincare,Professional,Topical Booster Serum,,Topical Booster Serum,Beauty Health,,Beauty Health,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
hydrafacial,REC_0334,prod_061f5eef5ccc,Beauty Health,HydraFacial Syndeo / Elite,水光/清洁/皮肤管理,水光/清洁/皮肤管理,EBD,Skin Management,Hydrafacial,Hydradermabrasion (海菲秀),Hydrafacial,Beauty Health,,Beauty Health,active,official_evidence_promoted,"official_company_ifu, official_product_document, official_product_page, official_spec_candidate"
keravive,REC_0381,prod_7876b0099060,Beauty Health,Keravive,专用头皮护理 (Scalp Health),,Injectables,Skin Booster,Hyaluronic Acid,,Hyaluronic Acid,Beauty Health,,Beauty Health,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
hydrafacial,REC_0956,prod_21a544b333d3,Beauty Health,HydraFacial,HydraFacial Syndeo,HydraFacial Syndeo,EBD,Platform,Aqua Dermabrasion,Vortex-Fusion Technology,Aqua Dermabrasion,Beauty Health,,Beauty Health,active,official_evidence_promoted,"official_company_ifu, official_product_document, official_product_page, official_spec_candidate"
hydrafacial|keravive,REC_0957,prod_d9e810b63c3f,Beauty Health,HydraFacial,HydraFacial Keravive,HydraFacial Keravive,EBD,LED/Light Therapy,LED Therapy,LED Light Therapy,LED Therapy,Beauty Health,,Beauty Health,active,official_evidence_promoted,"official_company_ifu, official_product_document, official_product_page"
hydrafacial,REC_0958,prod_bbf4db0a2efe,Beauty Health,HydraFacial,HydraFacial Boosters,,Skincare,Cosmeceutical,Boosters,Treatment Boosters,Boosters,Beauty Health,,Beauty Health,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
benev,REC_0070,prod_c22989b2f2ee,Benev,Benev Exosome (ERC / ERC+),Lyophilized Exosomes,,Injectables,Dermal Filler,Collagen,,Collagen,Benev,,Benev,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
benev,REC_0071,prod_efeb75b92560,Benev,Benev GF Series (GF-DNA),Growth Factors,,Injectables,Skin Booster,Hyaluronic Acid,,Hyaluronic Acid,Benev,,Benev,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
benev,REC_0667,prod_03ea16aa60a0,Benev,Smart Peels,Modified Acid System,,Skincare,Chemical Peel,Chemical Peel,,Chemical Peel,Benev,,Benev,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
amino-jal|jalucomplex,REC_0032,prod_d65d153564df,BioFormula,AMINO-JAL / JALUCOMPLEX,Mesotherapy Solution,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,BioFormula,,BioFormula,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0163,prod_d5b2f27e12d5,BioPlus,DeneB,Body Filler,Body Filler,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,"BioPlus Co., Ltd.","BioPlus Co., Ltd.",BioPlus,active,official_evidence_promoted,"official_eudamed, official_product_document, official_product_page, official_spec_candidate"
hyaldew,REC_0328,prod_92f8a1e94062,BioPlus,HyalDew,HA Dermal Filler,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,BioPlus,,BioPlus,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
skinplus,REC_0663,prod_84777f8a86ec,BioPlus,SkinPlus-Hyal,HA Dermal Filler,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,BioPlus,,BioPlus,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0967,prod_4ae5a7c8f961,BioPlus,ACROSS,ACROSS,TOTAL ACROSS,Injectables,Dermal Filler,Hyaluronic Acid,Cross-linked HA,Hyaluronic Acid,BioPlus,,BioPlus,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
rejuran,REC_0968,prod_4efdfa479c82,BioPlus,Kiara Reju,Kiara Reju,,Injectables,Skin Booster,PDRN + Hyaluronic Acid,PDRN / HA skin booster,PDRN + Hyaluronic Acid,"BioPlus Co., Ltd.","BioPlus Co., Ltd.",BioPlus,active,official_document_cross_checked,"official_company_fact_override, official_product_document, official_product_page"
hydrafacial,REC_0605,prod_81dc370a45cf,Biotec,Renova,Facial Platform,,EBD,Radiofrequency,Mesotherapy,,Mesotherapy,Biotec,,Biotec,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0445,prod_845dd1dc50ba,Biotekne,Meso-relle,Mesotherapy Needles,,Injectables,Mesotherapy,Mesotherapy,,Mesotherapy,Biotekne,,Biotekne,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0086,prod_67608c04e0b3,Bio-Therapeutic,Bio-Ultimate Platinum,Microcurrent,,EBD,Other EBD,Microcurrent,,Microcurrent,Bio-Therapeutic,,Bio-Therapeutic,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
bontempi|b.a.f.f.i|baffi,REC_0090,prod_edf297e7fbd6,BMED,Bontempi,B.A.F.F.I. Kit,,Injectables,Dermal Filler,Fat Grafting / Lipofilling,Fat Grafting / Lipofilling,Fat Grafting / Lipofilling,BMED,,BMED,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
bontempi|supercut,REC_0091,prod_0113087be616,BMED,Bontempi,Supercut Scissors,,Surgical,Surgical Tools,Plastic Surgery Tools,Plastic Surgery Tools,Plastic Surgery Tools,BMED,,BMED,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
bontempi|rhinoplasty,REC_0092,prod_d97390c51cd5,BMED,Bontempi,Rhinoplasty Instruments,,Surgical,Surgical Tools,Rhinoplasty Set,Rhinoplasty Set,Rhinoplasty Set,BMED,,BMED,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
boniva,REC_0973,prod_c013792ba2b5,BNC Korea,BONIVA,BONIVA,,Injectables,Neurotoxin,Botulinum Toxin A,Botulinum Toxin A,Botulinum Toxin A,BNC Korea,,BNC Korea,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
boniva,REC_0974,prod_26725a451fd7,BNC Korea,BONIVA FILLER,BONIVA Filler,,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,Hyaluronic Acid,BNC Korea,,BNC Korea,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
rejuran,REC_0319,prod_d9c1ddea77c1,BR Pharm,HP Cell Vitaran,PDRN / PN Injection,HP Cell Vitaran,Injectables,Skin Booster,Polynucleotide,,Polynucleotide,BR Pharm,,BR Pharm,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
ultim,REC_0138,prod_36e5518f310f,Brymill,Cry-Ac® / Cry-Ac®-3,Cryosurgery,,EBD,Cryotherapy,Cryotherapy,,Cryotherapy,Brymill,,Brymill,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0139,prod_74e62b2df37d,Brymill,Cry-Baby®,Mini Cryo,,EBD,Cryotherapy,Cryotherapy,,Cryotherapy,Brymill,,Brymill,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0858,prod_14411b4c02ed,Candela,CO2RE,CO2 Fractional Laser,CO2RE System,EBD,Laser,CO2 Laser,CO2,CO2 Laser,Candela,,Candela,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
hydrafacial,REC_0865,prod_40519e61ef99,Candela,Glacē,Hydro-Dermabrasion + LED,,EBD,LED/Light Therapy,Hydrafacial,Hydrafacial,Hydrafacial,Candela,,Candela,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
aquashine,REC_0166,prod_f72f3e4d0e72,Caregen,Dermaheal / Aquashine,Skin Booster / Meso,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Caregen,,Caregen,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
aquashine,REC_0932,prod_8e5a747e9769,Caregen,Aquashine,Aquashine,,Injectables,Dermal Filler,Hyaluronic Acid,Peptide-enriched HA,Hyaluronic Acid,Caregen,,Caregen,active,unverified_seed,seed_from_workbook
vom,REC_0759,prod_2458c93e680b,Chaeum Pharma,VOM / VOM O/M/V,HA Filler,,EBD,Radiofrequency,Hyaluronic Acid,,Hyaluronic Acid,Chaeum Pharma,,Chaeum Pharma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0633,prod_dc6dcb5198b0,Classys,Scizer,Body HIFU,SCIZER (SC1-M410),EBD,HIFU,HIFU,,HIFU,Classys,,Classys,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0757,prod_d0deae9fe331,Classys,Volnewmer,Monopolar RF,Volnewmer,EBD,Radiofrequency,Monopolar RF,,Monopolar RF,Classys,,Classys,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0136,prod_c61e66819467,Croma Pharma,Croma PDO Threads,Threads,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Croma Pharma,,Croma Pharma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0059,prod_51fbf86a99e5,Cutera,AviClear,Acne Laser,AviClear Laser System,EBD,Laser,Retinoid,,Retinoid,Cutera,,Cutera,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0713,prod_41594fb8bf9d,Cutera,truSculpt (iD / flex),Body Contouring,truSculpt,EBD,EMS,Stem Cell,,Stem Cell,Cutera,,Cutera,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0820,prod_6115f08655a6,Cynosure,XERF,Dual-Frequency Monopolar RF,XERF,EBD,Radiofrequency,Monopolar RF,Monopolar RF,Monopolar RF,Cynosure,,Cynosure,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
rejuran,REC_0202,prod_7aaee3d51236,Daejoo,Dr. DMA / PDRN Injection,Mesotherapy,Dr. DMA / PDRN Injection,Injectables,Skin Booster,PDRN / PN Skin Booster,PDRN mesotherapy injection,PDRN / PN Skin Booster,Daejoo,,Daejoo,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
api,REC_0533,prod_8aca814d2399,Daejoo,PDRN / PN API,API (PDRN/PN),,Injectables,Skin Booster,Polynucleotide,,Polynucleotide,Daejoo,,Daejoo,active,unverified_seed,seed_from_workbook
nabota|jeuveau|nuceiva,REC_0473,prod_9060828d2c15,Daewoong,Nabota (Jeuveau / Nuceiva),Botulinum Toxin,,Injectables,Neurotoxin,Botulinum Toxin A,,Botulinum Toxin A,Daewoong,,Daewoong,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_spec_candidate"
kybella,REC_0756,prod_6b766e97c020,Daewoong,V-OLET,Lipolysis,,Injectables,Lipolytic,Deoxycholic Acid,,Deoxycholic Acid,Daewoong,,Daewoong,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0158,prod_16a3d4775c95,DEKA,Deka,Renaissance / SmartXide,DEKA Loop,EBD,Laser,CO2 Laser,CO2 / Nd:YAG,CO2 Laser,DEKA,,DEKA,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0468,prod_38970f165cf3,DEKA,Motus AX / AY,Alexandrite Laser,SHARPLAN EPITOUCH ALEXANDRITE LASER SYSTEM (5000),EBD,Laser,Diode Laser,,Diode Laser,DEKA,,DEKA,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0669,prod_09aa10d3943a,DEKA,SmartXide (Touch / Punto),CO2 Laser,"SMART CO2 (SMARTXIDE, SMART US20D) WITH DOT SCANNER",EBD,Laser,CO2 Laser,,CO2 Laser,DEKA,,DEKA,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
rejuran,REC_0636,prod_f80e1322cc26,DFK Biolab,S-DNA,PDRN / Skin Booster,S-DNA / PDRN skin booster,Injectables,Skin Booster,PDRN + HA Skin Booster,,PDRN + HA Skin Booster,DFK Biolab,,DFK Biolab,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
nabota,REC_0963,prod_f3262e00d428,Dongkook Pharma,Nabota,Nabota,,Injectables,Neurotoxin,Botulinum Toxin A,Botulinum Toxin A,Botulinum Toxin A,Dongkook Pharma,,Dongkook Pharma,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
elravie,REC_0964,prod_6d65d588bcf6,Dongkook Pharma,Elravie,Elravie,,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,Hyaluronic Acid,Dongkook Pharma,,Dongkook Pharma,active,unverified_seed,seed_from_workbook
doum,REC_0268,prod_e176269738b7,Doum,Fat Transfer Cannulas,Fat Grafting,,Consumables,Needles & Cannulas,Fat Transfer Cannula,,Fat Transfer Cannula,Doum,,Doum,active,unverified_seed,seed_from_workbook
doum,REC_0344,prod_30833f2b6462,Doum,Infiltration Pump,Tool,,Surgical,Surgical Tools,Infiltration Pump,,Infiltration Pump,Doum,,Doum,active,unverified_seed,seed_from_workbook
doum,REC_0557,prod_255ee8bb59a2,Doum,Power Assisted Liposuction (PAL),Liposuction,,Surgical,Liposuction,Power Assisted Liposuction,,Power Assisted Liposuction,Doum,,Doum,active,unverified_seed,seed_from_workbook
botox,REC_0095,prod_56c13ebad4cb,DSD Pharm,Botox Like Hair Therapy,Hair Structure,,Skincare,Cosmeceutical,Hair Therapy,,Hair Therapy,DSD Pharm,,DSD Pharm,active,official_spec_candidate_cross_checked,"seed_from_workbook, official_spec_candidate"
api,REC_0159,prod_12d1fe689cd3,El.En.,DEKA,SmartXide (MonaLisa Touch),DEKA SMARTXIDE LASER SYSTEM,EBD,Laser,CO2 Laser,CO2 Fractional Laser (点阵二氧化碳),CO2 Laser,El.En.,,El.En.,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0584,prod_ed5f1dec6ea7,El.En.,Quanta System,Discovery PICO Series,Quanta System Surgical Laser fibers,EBD,Laser,Picosecond Laser,High Power Picosecond (大功率皮秒),Picosecond Laser,El.En.,,El.En.,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0383,prod_86ec90940bba,Eltech K-Laser,K-Laser,Blue Derma,,EBD,Laser,Blue Laser,Blue Laser 445nm (蓝激光),Blue Laser,Eltech K-Laser s.r.l.,Eltech K-Laser s.r.l.,Eltech K-Laser,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0230,prod_ae5df0f646a7,EndyMed Medical,EndyMed,EndyMed PRO / Pure,EndyMed PRO MAX,EBD,Radiofrequency,Radiofrequency,3DEEP RF (多源相控射频),Radiofrequency,EndyMed Medical,,EndyMed Medical,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0231,prod_df9e0a7e91f0,EndyMed Medical,EndyMed,Intensif,INTENSIF,EBD,Microneedling,Fractional RF,Non-Insulated RF Microneedling (非绝缘黄金微针),Fractional RF,EndyMed Medical,,EndyMed Medical,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
