confirm_id,group,group_instruction,priority,gap_score,seed_record_id,company,brand,original_product_name,track,form,technology,current_problem,lead_url,lead_domain,recommended_action,suggested_user_reply_options,korea_p1,korea_status
NEXT-020,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,66,REC_0467,NCRI,Mosquito Needle,Carbon Nanotube Needle,Consumables,Needles & Cannulas,Painless Needle,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.freepatentsonline.com/y2014/0296780.html,freepatentsonline.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-021,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,62,REC_0216,A.A.M.S.,E-Finger,无针经皮给药系统,EBD,Other EBD,Electroporation,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点,https://aamsworld.com/nos-solutions/electroporation/?lang=en,aamsworld.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-022,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,62,REC_0716,Universal IPS,U.IPS,Surgical Implants,Implants,Other Implant,Surgical Implant,缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://ab-dent.com/u-product/psi/,ab-dent.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,,
NEXT-023,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,60,REC_0438,ABG Lab LLC,Meso-Eye C71™,Specific Areas,Injectables,Mesotherapy,Mesotherapy,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://abglab.com/aestheticsolutions/aesthetictreatments/mesoeyec71,abglab.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-024,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,60,REC_0439,ABG Lab LLC,Meso-Genesis BP3™,Hair Restoration,Injectables,Mesotherapy,Mesotherapy,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://www.artbeauty.lv/en/service/bioreparacija-no-abg-lab-llc-laboratorijas-asv/,artbeauty.lv,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-025,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,58,REC_0724,BTL,Unison,BTL Unison,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://aestheticmed.co.uk/btl-aesthetics-launches-btl-unison,aestheticmed.co.uk,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-026,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P1,58,REC_0932,Caregen,Aquashine,Aquashine,Injectables,Dermal Filler,Hyaluronic Acid,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库；韩国 MFDS/KFDA P1：需先核产品身份,https://aestheticpharma.com/gb/308-caregen-ltd,aestheticpharma.com,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-027,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0600,A.A.M.S.,Rejulight,LED光疗设备,EBD,IPL,LED Therapy,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://aamsworld.com/nos-solutions/phototherapy-2/?lang=en,aamsworld.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-028,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0150,APS,Dalyance,射频 + 超声波,EBD,Radiofrequency,LIPUS,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.aestheticathens-zarnavellis.gr/en/services/aesthetic-surgery/dalyance,aestheticathens-zarnavellis.gr,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-029,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0240,APS,Epil One,半导体脱毛激光,EBD,Laser,Diode Laser,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.apgtech.eu/prodotti/epildream-2/,apgtech.eu,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-030,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0626,Cocoon Medical,Safyre,Safyre,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://bimedis.com/cocoon-medical-safyre-m518150,bimedis.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-031,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P1,54,REC_0431,Daejoo,Medical Cosmetics (ODM),Post-Procedure,Injectables,Skin Booster,Polynucleotide,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.daejongmedi.com/daejong-medical,daejongmedi.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-032,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P1,54,REC_0533,Daejoo,PDRN / PN API,API (PDRN/PN),Injectables,Skin Booster,Polynucleotide,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://celmade.co/blogs/news/korean-pdrn-products-selection-guide-practitioners,celmade.co,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-033,韩国光电设备/MFDS P1,确认是否真实韩国上游设备产品线，再补 MFDS/KFDA 或标记无公开证号。,P1,54,REC_0198,Dongbang Medical,Dongbang Needles,Acupuncture,EBD,Microneedling,Microneedling,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfRL/rl.cfm?lid=197873&lpcd=MQX,accessdata.fda.gov,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-034,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,54,REC_0268,Doum,Fat Transfer Cannulas,Fat Grafting,Consumables,Needles & Cannulas,Fat Transfer Cannula,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.blackandblacksurgical.com/document/25-0530-ifu-fat-collection-canister-systems/,blackandblacksurgical.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-035,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,54,REC_0344,Doum,Infiltration Pump,Tool,Surgical,Surgical Tools,Infiltration Pump,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.blackandblacksurgical.com/vitruvian-lipo-products/equipment/vitruvian-pump/,blackandblacksurgical.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-036,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,54,REC_0557,Doum,Power Assisted Liposuction (PAL),Liposuction,Surgical,Liposuction,Power Assisted Liposuction,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://aclmed.com.tw/en/products/pal/,aclmed.com.tw,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-037,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P1,54,REC_0454,Eclipse,MicroGlide,Post-Procedure,Injectables,Dermal Filler,Hyaluronic Acid,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.deviceinformed.com/manufacturers/eclipse,deviceinformed.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-038,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0614,HOYA ConBio,RevLite SI,Q-Switched Nd:YAG,EBD,Laser,Q-Switched Laser,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=118789,accessdata.fda.gov,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-039,专业护肤/术后修护,确认是否院线/医美机构使用的专业产品线；普通护肤或下游项目可排除。,P1,54,REC_SKINTECH_AESTHETIC_DERMAL,Skin Tech,Aesthetic Dermal,Aesthetic Dermal,Skincare,Professional,Mesocare Monosolutions,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；重点公司/重点产品；已有线索但未能直接落库,https://aestheticpharma.com/,aestheticpharma.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-040,专业护肤/术后修护,确认是否院线/医美机构使用的专业产品线；普通护肤或下游项目可排除。,P1,54,REC_SKINTECH_HAPPY_INTIM,Skin Tech,HAPPY intim,HAPPY intim,Skincare,Professional,Intimate Rejuvenation,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；重点公司/重点产品；已有线索但未能直接落库,https://skintechpharmagroup.nl/producten/,skintechpharmagroup.nl,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-041,专业护肤/术后修护,确认是否院线/医美机构使用的专业产品线；普通护肤或下游项目可排除。,P1,54,REC_SKINTECH_REPARESTIM,Skin Tech,Reparestim,Reparestim,Skincare,Professional,Transdermal Cocktails,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；重点公司/重点产品；已有线索但未能直接落库,https://www.skintechpharmagroup.com/products/brands/skin-tech/,skintechpharmagroup.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-042,韩国光电设备/MFDS P1,确认是否真实韩国上游设备产品线，再补 MFDS/KFDA 或标记无公开证号。,P1,54,REC_0005,Tentech,10Thera,10Thera (TenThera),EBD,HIFU,HIFU,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.elogioasia.com/product/skin-device/ultrasound/10thera/,elogioasia.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-043,韩国光电设备/MFDS P1,确认是否真实韩国上游设备产品线，再补 MFDS/KFDA 或标记无公开证号。,P1,54,REC_0006,Tentech,10Therma,10Therma (TenTherma),EBD,Radiofrequency,Monopolar RF,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://canalmedicalstore.com/products/TenTech-10THERMA-RF-Technology.html,canalmedicalstore.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-044,手术/脂肪移植/耗材,确认是否属于医美上游核心器械耗材；通用外科或弱线索可排除。,P1,50,REC_1056,Bimini Health Tech,Dermapose,Dermapose Fat Transfer Product Suite,Surgical,Liposuction,Fat Transfer System,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,,
NEXT-045,手术/脂肪移植/耗材,确认是否属于医美上游核心器械耗材；通用外科或弱线索可排除。,P1,50,REC_1057,Bimini Health Tech,Puregraft,Puregraft Fat Transfer Product Suite,Surgical,Liposuction,Fat Purification / Filtration System,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,,
NEXT-046,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,K-P1,0,REC_0964,Dongkook Pharma,Elravie,Elravie,Injectables,Dermal Filler,,korea_mfds_p1；韩国 MFDS/KFDA P1：需先核产品身份,,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
